id	site_name	site_code	phase_code	phase	period	date_earliest	date_latest
18	'Afula	AF	AF_EB	EB IA	Early Bronze Age IA	3200	0
18	'Afula	AF	AF_MB	MB II	Middle Bronze Age II	1800	1600
18	'Afula	AF	AF_IA	IA	Iron Age	1000	500
23	'Ain Dara	ADA	ADA	Iron Age	Iron Age	1000	500
24	'Ain Ghazal	AGHAZ	AG	middle/late PPNB	Prepottery Neolithic B	8700	6500
24	'Ain Ghazal	AGHAZ	AG_lM-eL	late Middle - early Late PPNB	Prepottery Neolithic B	8700	6500
24	'Ain Ghazal	AGHAZ	AG_L-lL	Late PPNB - latest Late PPNB	late Prepottery Neolithic B	7500	7000
24	'Ain Ghazal	AGHAZ	AG_L-C	Late PPNB - PPNC	Aceramic Neolithic	8700	5400
24	'Ain Ghazal	AGHAZ	AG_C	PPNC	Prepottery Neolithic C	6500	0
24	'Ain Ghazal	AGHAZ	AG_Y-lY	Yarmoukian	Yarmoukian	5600	4000
5	Abi'or cave	AC	AC	Roman period	Roman period	60	0
7	Abu Hamid	AHA	AHA	Chalcolithic	Late Chalcolithic	4800	3800
11	Abu Salabikh	AS	AS-P2	Sumerian	Sumerian	3000	2340
11	Abu Salabikh	AS	AS-P3	Sumerian	Sumerian	3000	2340
1035	Acemhöyük	ACEM	ACEM_III	Level III, Assyrian Colony Period, ca. 2000 - 1780 BCE	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II	Level II, 18th century BC onwards	Bronze Age	3400	1100
1035	Acemhöyük	ACEM	ACEM_XI_DB50	Level XI, Sondaj DB50, Early Bronze Age	Early Bronze Age	3200	2000
1035	Acemhöyük	ACEM	ACEM_XI_DB52	Level XI, Sondaj DB52	Early Bronze Age	3200	2000
1035	Acemhöyük	ACEM	ACEM_XI_EB50	Level XI, Sondaj EB50	Early Bronze Age	3200	2000
1035	Acemhöyük	ACEM	ACEM_V	Level V, Sonday GB-DB49-48	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_IV_RA46	Level IV, Sonday RA46	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_IV_5	Level IV, Sondaj 5	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_III_SA35	Level III, Sondaj SA35	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_III_SA36	Level III, Sondaj SA36	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_III_RA46	Level III, Sondaj RA46	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II_OA38	Level II, Sondaj OA38	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II_AB49	Level II, Sondaj AB49	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II_VA49	Level II, Sondaj VA49	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II_YA49	Level II, Sondaj YA49	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II_ZA49	Level II, Sondaj ZA49	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_II_YA50	Level II, Sondaj YA50	Middle Bronze Age	1800	1600
1035	Acemhöyük	ACEM	ACEM_CB52	No level indicated, Sondaj CB52	Bronze Age	3400	1100
1035	Acemhöyük	ACEM	ACEM_FB48	No level indicated, Sondaj FB48	Bronze Age	3400	1100
1035	Acemhöyük	ACEM	ACEM_FB48-49	No level indicated, Sondaj FB48-49	Ottoman period	1	0
1035	Acemhöyük	ACEM	ACEM_BB50	No level indicated, Sondaj BB50	Ottoman period	1	0
12	Achilleion	ACHIL	AnI	early Neolithic	early Neolithic	6400	0
12	Achilleion	ACHIL	AnII	middle Neolithic	middle Neolithic	1	0
21	Agios Mamas	AM	AM_MBA	early MBA	early Middle Bronze Age	2000	0
1046	Ain Mallaha (Eynan)	AINM	AINM_FN	Final Natufian	Epipalaeolithic_PPN	12500	10000
35	Akrotiri	AK	AK	Late Minoan I A (1550-1500)	Late Bronze Age	1500	1200
1020	Al-Madam 1 - Thuqeibah	THUQ	THUQ_IA	Sektor I, Iron Age II and III, ca. 1100 - 400 BC	Iron Age II_III	918	535
44	Ali Kosh	KOSH	AK-AK	middle/late PPNB	Prepottery Neolithic B	8700	6500
44	Ali Kosh	KOSH	AK-BM	(early?/)middle PPNB	middle PPNB	8400	7500
44	Ali Kosh	KOSH	AK-MJ	(late PPNB/) PN	late Prepottery Neolithic B	7500	7000
59	Anza	ANZ	AzaI-III	early Neolithic	early Neolithic	6400	0
59	Anza	ANZ	AzaIV	late Neolithic	Late Neolithic	1	5200
61	Apliki	AP	AP	Late Cypriote	Late Bronze Age	1500	1200
65	Arad	A	A_I	EB II (-2650 BC)	Early Bronze Age II	2800	2600
65	Arad	A	A_II	EB II	Early Bronze Age II	2800	2600
65	Arad	A	A_III-II	EB II	Early Bronze Age II	2800	2600
65	Arad	A	A_III	EB II (-2800 BC)	Early Bronze Age II	2800	2600
65	Arad	A	A_IV	EB IB (3200-3000 BC)	Early Bronze Age IB	3200	3000
65	Arad	A	A	IA/Roman	Iron Age	1000	0
66	Arapi Magoula	ARM	ARM-LN	early &  late Dimini	Late Neolithic	1	5200
69	Argissa-Magoula	ARG	ARG-EBA	Early Bronze Age	Early Bronze Age	3200	2000
69	Argissa-Magoula	ARG	ARG-Neo	Neolithic	Neolithic	6400	4200
69	Argissa-Magoula	ARG	ARG-ET_I_II	Early-Thessalic I - II	Early Bronze Age	3200	2000
69	Argissa-Magoula	ARG	ARG-unstrat	unstratified	Unknown	1	0
69	Argissa-Magoula	ARG	ARG-ET_III	Early Thessalic III	Early Bronze Age	3200	2000
69	Argissa-Magoula	ARG	ARG-MT_I_II	Middle Thessalic I - II (1958)	Middle Bronze Age	1800	1600
69	Argissa-Magoula	ARG	ARG-MT_II_III	Middle Thessalic II - III	Middle Bronze Age	1800	1600
69	Argissa-Magoula	ARG	ARG-MT_IV-V	Middle Thessalic IV - V	Middle Bronze Age	1800	1600
69	Argissa-Magoula	ARG	ARG-PPN	PPN	Aceramic Neolithic	8700	5400
69	Argissa-Magoula	ARG	ARG-EN	early Neolithic	early Neolithic	6400	0
69	Argissa-Magoula	ARG	ARG-MBAI	early MBA	early Middle Bronze Age	2000	0
69	Argissa-Magoula	ARG	ARG-MBAII	middle MBA	middle Middle Bronze Age	1700	1500
70	Arjoune	ARJ	ARJ_V	5600 - 5430 BC	Neolithic	6400	4200
70	Arjoune	ARJ	ARJ_VI	4710 - 4460 BC	Neolithic	6400	4200
70	Arjoune	ARJ	ARJ_VII	5580 - 5390 BC	Neolithic	6400	4200
1005	Arkadikos	ARKA	ARKA_LN	Late Neolithic	Late Neolithic	1	5200
73	Arslantepe	ARST	ARST_EB_I	EB I	Early Bronze Age I	3000	2800
73	Arslantepe	ARST	ARST_EB_IA	EB IA (3350-3000 BC)	Early Bronze Age IA	3200	0
73	Arslantepe	ARST	ARST_EB_IB	EB IB (3000-2700 BC)	Early Bronze Age IB	3200	3000
73	Arslantepe	ARST	ARST_EB_II	Early Bronze Age II (2750-2500 BC)	Early Bronze Age II	2800	2600
1028	Ashdod	ASHD	ASHD_LBA_IIB	Late Bronze Age IIB, 1300-1200	Late Bronze Age IIB	1300	1100
1016	Ashkelon	ASH	ASH_IA	Iron Age	Iron Age	1000	500
1016	Ashkelon	ASH	ASH_IAIIC	Iron Age IIC, 7th century BC	Late Iron Age	800	600
1016	Ashkelon	ASH	ASH_Neo	Neolithic	Neolithic	6400	4200
76	Asikli Hoyuk	ASIK	AsH	middle PPNB	middle PPNB	8400	7500
77	Assiros Toumba	AT	AT-EIA	Early Iron Age	Early Iron Age	1200	900
77	Assiros Toumba	AT	AT-LBAI	LBA I	Late Bronze Age I	1600	1400
77	Assiros Toumba	AT	AT-LBAII	LBA II	Late Bronze Age II	1300	1100
78	Asvan Kale (Asvan)	ASK	AK_EB_II_III	Early Bronze Age II/III	Early Bronze Age II_III	2800	2200
78	Asvan Kale (Asvan)	ASK	AK_LBA	Late Bronze Age	Late Bronze Age	1500	1200
78	Asvan Kale (Asvan)	ASK	AK_Hell	Hellenistic	Hellenistic period	400	0
78	Asvan Kale (Asvan)	ASK	AK_Rom	Roman	Roman period	60	0
78	Asvan Kale (Asvan)	ASK	AK_Med_I	Medieval I	Early Islamic	1	0
78	Asvan Kale (Asvan)	ASK	AK_Med_II	Medieval II	Islamic period	1	0
78	Asvan Kale (Asvan)	ASK	AK_Med_III	Medieval III	Late Islamic period	1	0
78	Asvan Kale (Asvan)	ASK	AK_Med	Medieval	Medieval	1	0
79	Asvan region	ASVR	ASVR-C	Chalcolithic	Chalcolithic	5200	3000
79	Asvan region	ASVR	ASVR-EBA	Early Bronze Age	Early Bronze Age	3200	2000
79	Asvan region	ASVR	ASVR-EM	early Medieval	Early Medieval	1	0
79	Asvan region	ASVR	ASVR-HR	Hellenistic and Roman period	Hellenistic_Roman period	400	0
79	Asvan region	ASVR	ASVR-LM	Late Medieval	Late Medieval	1	0
89	Ayios Dhemetrios	AD	AD_B	late Cypriote (buildings)	Late Bronze Age	1500	1200
89	Ayios Dhemetrios	AD	AD_T	late Cypriote (tombs)	Late Bronze Age	1500	1200
90	Ayios Epiktitos Vrysi	AEV	AEV	PN	Pottery Neolithic	5400	0
95	Azraq 31	AZ	Az31	late PPNB	late Prepottery Neolithic B	7500	7000
97	Bab'edh Dhra	BDRA	BDRA-C	cemetery, EB I	Early Bronze Age I	3000	2800
97	Bab'edh Dhra	BDRA	BDRA-T	town, EB I-IV	Early Bronze Age	3200	2000
991	Bademagaci	BADE	BADE_ENI	Early Neolithic I (lower EN levels), 7050BC-6690BC	early Neolithic	6400	0
991	Bademagaci	BADE	BADE_ENII	Early Neolithic II (upper EN levels), 6460BC-6060BC	early Neolithic	6400	0
991	Bademagaci	BADE	BADE_EN	Early Neolithic	early Neolithic	6400	0
991	Bademagaci	BADE	BADE_LN-ECh	Late Neolithic, possibly extending to an Early Chalcolithic	Neolithic_Chalcolithic	6400	3000
991	Bademagaci	BADE	BADE_EBAII	Early Bronze Age	Early Bronze Age	3200	2000
1043	Barcin Höyük	BARC	BARC_LN	Late Neolithic, 6500 - 5800 BC	Late Neolithic	1	5200
115	Basta	BAST	BA	late PPNB	late Prepottery Neolithic B	7500	7000
116	Bastam	B	B_P	Mixed material from pre Urartu phases from different loci	Unknown	1	0
116	Bastam	B	B_P_U	Mixed material or Urartu	Unknown	1	0
116	Bastam	B	B_U	Urartu	Urartu	840	0
116	Bastam	B	B_UM	Urartu-Median	Urartu	840	0
116	Bastam	B	B_M	Medieval	Medieval	1	0
1052	Başur Höyük	BASU	BASU_MBA	Middle Bronze Age	Middle Bronze Age	1800	1600
120	Beer-Sheba	BESH	BS_H	3rd-1st cent. BC	Hellenistic period	400	0
120	Beer-Sheba	BESH	BS_IAI	IA  I (12th-11th cent. BC)	Early Iron Age I	1200	918
120	Beer-Sheba	BESH	BS_IAIS	Israelite period  (10th-8th cent. BC)	Israelite period	1000	800
121	Beidha	BEID	BE_nat	Natufian	Natufian	11000	9300
121	Beidha	BEID	BE	middle PPNB	middle PPNB	8400	7500
1057	Beisamoun	BEIS	BEIS_EP	Early Pottery Neolithic	Pottery Neolithic	5400	0
123	Bendebal	BEN	BEN	Chalcolithic	Chalcolithic	5200	3000
128	Beth Shean	BS	BS	Early Bronze Age	Early Bronze Age	3200	2000
128	Beth Shean	BS	BS_H1	Early Islamic Period	Early Islamic	1	0
128	Beth Shean	BS	BS_H2ca	Byzantine Period	Byzantine	1	0
128	Beth Shean	BS	BS_L1	Early Islamic Period, stratum L	Early Islamic	1	0
128	Beth Shean	BS	BS_L2	Byzantine Period, stratum L	Byzantine	1	0
128	Beth Shean	BS	BS_P5	Hellenstic Period, stratum P	Hellenistic period	400	0
128	Beth Shean	BS	BS_Q	stratum Q	Unknown	1	0
128	Beth Shean	BS	BS_MBIIB	Middle Bronze Age IIB, 1750-1550 BC	Middle Bronze Age IIB	1700	1600
128	Beth Shean	BS	BS_LBIA	Late Bronze Age IA	Late Bronze Age I	1600	1400
128	Beth Shean	BS	BS_LBIB	Late Bronze Age IB	Late Bronze Age IB	1550	1400
128	Beth Shean	BS	BS_LBIIA	Late Bronze Age IIA, 1400-1200 BC	NA	NA	NA
128	Beth Shean	BS	BS_LBIIB	Late Bronze Age IIB, 13th cent. BC, 19th Egyptian Dynasty	Late Bronze Age IIB	1300	1100
128	Beth Shean	BS	BS_IAI_S3	Early Iron Age IA, 12th cent. BC, 20th Egyptian dynasty	Early Iron Age IA	1200	1000
128	Beth Shean	BS	BS_EBIB	Early Bronze Age IB	Early Bronze Age IB	3200	3000
128	Beth Shean	BS	BS_H3	Hellenstic Period	Hellenistic period	400	0
128	Beth Shean	BS	BS_H4	Pre-Hellenistic	Unknown	1	0
128	Beth Shean	BS	BS_P6	late 8th cent., stratum P	Early Iron Age II	918	535
128	Beth Shean	BS	BS_P7	8th cent. BC - 732 BC, stratum P	Early Iron Age II	918	535
128	Beth Shean	BS	BS_P8	Late 9th - early 8th centuries BC, stratum P	Early Iron Age II	918	535
128	Beth Shean	BS	BS_EBIII	Early Bronze Age III, 2700-2200 BC	Early Bronze Age III	2400	2200
1014	Bethsaida	BETH	BETH_IAII	Iron Age IIA	Early Iron Age IIA	980	840
129	Beycesultan	BEYS	BS-BYZ	Byzantine period	Byzantine	1	0
129	Beycesultan	BEYS	BS-LBA	Late Bronze Age	Late Bronze Age	1500	1200
144	Bnei Beraq	BB	BB	Chalcolithic	Chalcolithic	5200	3000
147	Bogazköy	BK	BK_UIV	assyrian commercial settlement (18th-17th cent. BC)	Middle Bronze Age	1800	1600
147	Bogazköy	BK	BK_UI-IV	17th-13th cent. not stratified or dated	Bronze Age	3400	1100
147	Bogazköy	BK	BK_II	Old Hittite kingdom (16th cent. BC)	Hittite Empire	1800	1178
147	Bogazköy	BK	BK_I	Hittite kingdom (14th-13th cent. BC)	Hittite Empire	1800	1178
147	Bogazköy	BK	BK_UI	Hittite kingdom (13th cent. BC)	Hittite Empire	1800	1178
147	Bogazköy	BK	BK_UII-III	Unterstadt II/III	Hittite Empire	1800	1178
150	Bosra	BOS	BOS	Islamic period	Islamic period	1	0
153	Bouqras	BOUQ	BQ	late PPNB/PN	late Prepottery Neolithic B_Pottery Neolithic	7500	5400
1041	Büyüktepe Höyük	BÜYÜ	BÜYÜ_EB	Early Bronze Age, ca. 3300-2330 cal. BC	Early Bronze Age	3200	2000
1041	Büyüktepe Höyük	BÜYÜ	BÜYÜ_IA	Iron Age, ca. 910-90 cal. BC	Iron Age	1000	500
163	Çadir Höyük	CADH	CADH-I	Chalcolithic / EBA I	Early Bronze Age I	3000	2800
163	Çadir Höyük	CADH	CADH-II	Later Iron Age (Phrygian) / Early Hellenistic	Iron Age Phrygian	1000	400
163	Çadir Höyük	CADH	CADH-III	Persian/ Hellenistic	Hellenistic_Persian period	400	331
163	Çadir Höyük	CADH	CADH-LIa-c	Level Ia-c, ca. 4500-3100 BC	Late Chalcolithic	4800	3800
163	Çadir Höyük	CADH	CADH-LIa-c_LII	Level Ia-c and II, ca. 4500-3100 - 3100-2000 BC	Chalcolithic_EBA	5200	2000
163	Çadir Höyük	CADH	CADH-LIV	Level IV, ca. 1600-1200 BC	Late Bronze Age	1500	1200
163	Çadir Höyük	CADH	CADH-LV	Level V, ca. 1200-900 BC	Iron Age	1000	500
163	Çadir Höyük	CADH	CADH-LIX	Level IX, ca. AD 400-1000	Byzantine	1	0
164	Cafer Hoyuk	CAF	CHI	middle/late PPNB	Prepottery Neolithic B	8700	6500
164	Cafer Hoyuk	CAF	CHII	middle/late PPNB	Prepottery Neolithic B	8700	6500
164	Cafer Hoyuk	CAF	CHIII	early/middle PPNB	Prepottery Neolithic B	8700	6500
1044	Çamlıbel Tarlası	CAML	CAML_LC	Late Chalcolithic (3590-3470 cal BC)	Late Chalcolithic	4800	3800
165	Can Hasan III	HASAN	CHaIII	late/final PPNB (PPNC)?	Prepottery Neolithic B_C	8700	6000
168	Cape Andreas Kastros	CAK	CAK	Khirokitian	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CtHIX-X	PN	Pottery Neolithic	5400	0
1030	Çatalhöyük	CAT	CtHPXII-A	?aceramic	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CtHPXII-B	PPN	Aceramic Neolithic	8700	5400
1030	Çatalhöyük	CAT	CtHPXII-C/D	PPN	Aceramic Neolithic	8700	5400
1030	Çatalhöyük	CAT	CtHVI-VIII	PN	Pottery Neolithic	5400	0
1030	Çatalhöyük	CAT	CtHXI-XII	PN	Pottery Neolithic	5400	0
1030	Çatalhöyük	CAT	CAT_N	Neolithic	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CAT_KO	Kopal Area	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CAT_BA	Bach Area	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CAT_N-VI-V	North Area, Level VI-V	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CAT_N-V-IV	North Area, Level V-IV	Neolithic	6400	4200
1030	Çatalhöyük	CAT	CAT_S	South Area, ca. 7400/7100 - 6500/6300 BC	Neolithic	6400	4200
1026	Çavi Tarlası	CAVI	CAVI_H	Halaf	Halaf	5500	4500
171	Cayboyu (Asvan)	CB	CB_LC	Late Uruk	Late Chalcolithic	4800	3800
172	Cayonu	CAY	CAIa	PPNA	Prepottery Neolithic A	9800	8800
172	Cayonu	CAY	CAIb	early PPNB	early Prepottery Neolithic B	8800	8400
172	Cayonu	CAY	CAIc	middle PPNB	middle PPNB	8400	7500
172	Cayonu	CAY	CAId	late PPNB	late Prepottery Neolithic B	7500	7000
172	Cayonu	CAY	CAIe	PPNC	Prepottery Neolithic C	6500	0
172	Cayonu	CAY	CAII	PN	Pottery Neolithic	5400	0
172	Cayonu	CAY	CAY_PPN	Aceramic Prepottery Neolithic 8250-7750 BC	Aceramic Neolithic	8700	5400
172	Cayonu	CAY	CAY_PN	Pottery Neolithic	Pottery Neolithic	5400	0
172	Cayonu	CAY	CAY_BA	Bronze Age	Bronze Age	3400	1100
180	Choga Mami	CM	CM-ED	2500 BC	Early Bronze Age	3200	2000
180	Choga Mami	CM	CM-PS	Post-Samarra (5101 BC)	Chalcolithic	5200	3000
180	Choga Mami	CM	CM-S	Samarra	Chalcolithic	5200	3000
180	Choga Mami	CM	CM-U	Ubaid	Chalcolithic	5200	3000
183	City of David	CD	CD_EBAI	EBA I (31st cent. BC)	Early Bronze Age I	3000	2800
183	City of David	CD	CD_EH	early Hellenistic period (4th-2nd cent. BC)	Early Hellenistic period	400	200
183	City of David	CD	CD_H	Hasmonean (150-100 BC)	Hasmonean	150	100
183	City of David	CD	CD_IA	IA II (900-586 BC)	Early Iron Age II	918	535
183	City of David	CD	CD_MBA	18th cent. BC	Middle Bronze Age	1800	1600
183	City of David	CD	CD_LBA	14th-13th cent. BC	late Late Bronze Age	1400	1300
183	City of David	CD	CD_P	500-300 BC	Persian period	600	400
188	Corinth	C	C-A	700-490 BC	Archaic period	700	400
188	Corinth	C	C-C	490-330 BC	Classical period	500	323
1015	Deir el-Balah	DB	DB_LBIIB	Late Bronze Age IIB, mid 13th BC	Late Bronze Age IIB	1300	1100
200	Deir'Alla	DA	DA-LBA	Late Bronze Age	Late Bronze Age	1500	1200
200	Deir'Alla	DA	DA-IA	Iron Age	Iron Age	1000	500
202	Demircihüyük	DH	DH	Early Bronze Age	Early Bronze Age	3200	2000
203	Dendra	DEN	DEN	Mycenean IIIB	Mycenean	1050	1000
211	Dhali Agridhi	DAGR	DAGR	NA	Neolithic	6400	4200
1058	Dhiban	DHI	DHI_IA	Iron Age	Iron Age	1000	500
212	Dhuweila	DHU	DHI	late PPNB	late Prepottery Neolithic B	7500	7000
212	Dhuweila	DHU	DHII	later Late Neolithic	Late Neolithic	1	5200
212	Dhuweila	DHU	DH_LN	Late Neolithic	Late Neolithic	1	5200
212	Dhuweila	DHU	DHIII	Post Late Neolithic or residual Late Neolithic	Late Neolithic	1	5200
213	Diban 11	DIBX	DIBX_M	Abbasid (750-800 AD)	Medieval	1	0
214	Diban 5	DIBV	DIBV_M	Abbasid (750-800 AD)	Medieval	1	0
216	Dikili Tash	DT	DT-LN	Late Neolithic	Late Neolithic	1	5200
218	Dilkaya Höyük	DIL	DIL	Early Bronze Age	Early Bronze Age	3200	2000
219	Dimini	DIM	DIM	Late Neolithic	Neolithic	6400	4200
995	Dinkha Tepe	DITE	DITE_II-III	Iron Age I and II (1500 - 800 BC)	Early Iron Age	1200	900
995	Dinkha Tepe	DITE	DITE_IA-BA	Mixed material (BA and IA)	Late Bronze_Iron Age	1500	500
995	Dinkha Tepe	DITE	DITE_Iva-Ivb	Bronze Age (at least 1900 - 1600 BC)	Bronze Age	3400	1100
223	Djade	DJA	DJ	PPNA/EARLY/middle PPNB	Prepottery Neolithic A_B	9800	6500
1019	Domuztepe	DOMU	DOMU_A1	Phase A-1 (ca. 5700-5625 BCE)  middle Halaf	Middle Halaf	5700	5500
1019	Domuztepe	DOMU	DOMU_A2	Phase A-2 (ca. 5625-5575 BCE) middle Halaf	Middle Halaf	5700	5500
1019	Domuztepe	DOMU	DOMU_A3-DP	Phase A-3, Death Pit (ca. 5575 BCE) middle to late Halaf	late Halaf	5000	0
1019	Domuztepe	DOMU	DOMU_A3	Phase A-3, other (ca. 5575-5450 BCE) middle to late Halaf	late Halaf	5000	0
231	Drachmani	DRA	DRA	Middle Bronze Age	Middle Bronze Age	1800	1600
235	Ebla	EBL	EBL_EBA_IVA	Early Bronze Age	Early Bronze Age IV	2350	2000
246	El Kowm I	KOW1	EKIa	?late PPNB	late Prepottery Neolithic B	7500	7000
246	El Kowm I	KOW1	EKIb	PN	Pottery Neolithic	5400	0
247	El Kowm II	KOW2	EKII	final PPNB	late Prepottery Neolithic B	7500	7000
247	El Kowm II	KOW2	EK2_Sond	Sondage	Unknown	1	0
247	El Kowm II	KOW2	EKII_AVI-V	final PPNB, niveau VI-V	final PPNB	7000	6500
247	El Kowm II	KOW2	EKII_AIV	final PPNB, niveau IV	final PPNB	7000	6500
247	El Kowm II	KOW2	EKII_AIII	final PPNB, niveau III	final PPNB	7000	6500
247	El Kowm II	KOW2	EKII_AII	final PPNB, niveau II	final PPNB	7000	6500
247	El Kowm II	KOW2	EKII_AI	final PPNB, niveau I	final PPNB	7000	6500
247	El Kowm II	KOW2	EK2_B	PNA	Pottery Neolithic	5400	0
255	El-Lejjun	ELEJ	EL_EB	(324-500 AD)	Early Byzantine	1	0
255	El-Lejjun	ELEJ	EL_I	Islamic / Ottoman	Islamic period	1	0
255	El-Lejjun	ELEJ	EL_EBA	Early Bronze Age	Early Bronze Age	3200	2000
255	El-Lejjun	ELEJ	EL_LB	(500-551 AD)	Late Byzantine	1	0
255	El-Lejjun	ELEJ	EL_R	Late Roman / Early Byzantine (284-363 AD)	Roman_Byzantine period	60	0
258	Emar	EM	EM_EBA	Early Bronze Age	Early Bronze Age	3200	2000
258	Emar	EM	EM_LBA	Late Bronze Age	Late Bronze Age	1500	1200
258	Emar	EM	EM_MBA	Middle Bronze Age	Middle Bronze Age	1800	1600
260	En Besor	EBES	EBES	Early Bronze Age	Early Bronze Age	3200	2000
261	En Boqeq	EB	EB	NA	Late Roman period	1	0
