"SITE","COUNTRY","REF"
"Frauenhofen","Austria","Bakels 1986"
"Neckenmarkt","Austria","Kreuz 1990"
"Poigen","Austria","Hopf 1977"
"Rosenburg","Austria","Kreuz 1990"
"Schletz-Asparn","Austria","Schneider 1994"
"Strögen","Austria","Kreuz 1990"
"Coron Maton","Belgium","Bakels and Rousselle 1985"
"Crisnée","Belgium","Bakels and Rousselle 1985"
"Darion","Belgium","Bakels and Rousselle 1985"
"Place Saint Lambert","Belgium","Bakels and Rousselle 1985"
"Vaux-et-Borset","Belgium","Heim and Hauzer 2002"
"Wange","Belgium","Bakels and Rousselle 1985"
"Cavdar","Bulgaria","Hopf 1973; Dennell 1978"
"Galabnik","Bulgaria","Marinova et al 2002"
"Kapitan Dimitrievo","Bulgaria","Marinova 2001"
"Karanovo","Bulgaria","Marinova 2001; Thanheiser 1997; Hopf 1973; Renfrew 1969"
"Kazanlak","Bulgaria","Hopf 1973; Dennell 1978"
"Kovacevo","Bulgaria","Marinova 2001"
"Kremenik","Bulgaria","Cakalova and Sarbinska 1986"
"Poljanica Plateau","Bulgaria","Hopf 1988"
"Slatina","Bulgaria","Marinova 2001; Dontscheva 1990"
"Tell Azmak","Bulgaria","Hopf 1973; Renfrew 1969, 1979"
"Tell Samovodene","Bulgaria","Marinova pers.comm"
"Yassatepe","Bulgaria","Renfrew 1969"
"Knossos","Crete","Helbaek (unpubl report)"
"Ayios Epiktitos Vrysi","Cyprus","Kyllo 1982"
"Cape Andreas Kastros","Cyprus","van Zeist 1981"
"Dhali-Agridhi","Cyprus","Stewart 1974"
"Khirokitia","Cyprus","Hansen 1989, 1994; Miller 1984; Waines and Stanley Price 1977"
"Kissonerga Mylouthkia","Cyprus","Murray 2003"
"Parekklisha-Shillourokambos","Cyprus","Willcox 2001"
"Březno u Louny","Czech Republic","Tempir 1979"
"Bylany","Czech Republic","Tempir 1979"
"Mohelnice","Czech Republic","Tempir 1979"
"Žimutice","Czech Republic","Tempir 1979"
"Halsskov","Denmark","Kubiak-Martens 2002"
"Lidsø","Denmark","Jørgensen and Fredskild in Davidsen 1978"
"Sarup","Denmark","Jørgensen 1981"
"Stengade","Denmark","Hjelmqvist in Skaarup 1975"
"Abingdon","England","Murphy in Case & Whittle 1982"
"Briar Hill","England","Perry in Bamford 1985"
"Bromfield","England","Colledge in Stanford 1982"
"Coneybury 'Anomaly'","England","Carruthers in Richards 1990"
"Flagstones","England","Straker in Smith et al 1997"
"Hambledon Hill","England","Jones & Legge (unpubl report)"
"Hazleton North","England","Straker in Saville 1990"
"King Barrow Ridge","England","Carruthers in Richards 1990"
"Lismore Fields","England","Jones (unpubl report)"
"Maiden Castle","England","Helbaek 1952; Palmer & Jones in Sharples 1991"
"Robin Hood's Ball","England","Carruthers in Richards 1990"
"Rowden","England","Carruthers 1991"
"The Stumble","England","Murphy 1989"
"Windmill Hill","England","Helbaek 1952; Fairbairn in Whittle et al 1999"
"Windmill Hill - external features","England","Fairbairn in Whittle et al 2000"
"Bercy","France","Dietsch 1996"
"Berry-au-Bac","France","Bakels 1995"
"Derrière-les-Prés","France","Marinval 1997"
"Entzheim","France","Hopf 1975"
"Evendorff","France","Bakels 1984"
"Grotte de l'Aigle","France","Erroux 1979"
"Les Fontinettes","France","Bakels 1984"
"Menneville","France","Bakels 1984"
"Perte du Cros","France","Hopf 1967"
"Villeneuve-St-Germain","France","Bakels 1984"
"Bergheim-Zieverich","Germany","Knörzer 1980"
"Bietigheim-Bissingen","Germany","Piening 1989"
"Bruchenbrücken","Germany","Kreuz 1990"
"Eilsleben","Germany","Schultze-Motel 1980"
"Eitzum 2","Germany","Kreuz 1990"
"Endersbach","Germany","Piening 1979, 1982"
"Enkingen","Germany","Kreuz 1990"
"Goddelau","Germany","Kreuz 1990"
"Göttingen","Germany","Willerding 1969"
"Heilbronn-Klingenberg","Germany","Stika 1996"
"Hienheim","Germany","Bakels 1978"
"Hilzingen","Germany","Stika 1991"
"Ilsfeld","Germany","Piening 1982"
"Klein Denkt","Germany","Kreuz 1990"
"Langweiler 2","Germany","Knörzer 1973"
"Langweiler 3","Germany","Knörzer 1972"
"Langweiler 6","Germany","Knörzer 1972"
"Langweiler 8","Germany","Knörzer 1988"
"Langweiler 9","Germany","Knörzer 1977"
"Ludwigsburg-Oßweil","Germany","Piening 1982"
"Marbach am Neckar","Germany","Piening 1982"
"Meindling","Germany","Bakels 1992"
"Mintraching","Germany","Kreuz 1990"
"Nieder-Eschbach","Germany","Kreuz 1990"
"Rosdorf","Germany","Willerding 1965"
"Wanlo","Germany","Knörzer 1980"
"Weiler zum Stein","Germany","Piening 1982"
"Achilleion","Greece","Renfrew 1989"
"Arapi Magoula","Greece","Kroll 1981, 1983"
"Argissa Magoula","Greece","Hopf 1962; Kroll 1981, 1983"
"Dikili Tash","Greece","Willcox/Matterne pers.comm."
"Dimini","Greece","Kroll 1979"
"Franchthi Cave","Greece","Hansen 1991"
"Ghediki","Greece","Renfrew 1966, 1979"
"Lerna","Greece","Hopf 1962"
"Nea Nikomedeia","Greece","van Zeist and Bottema 1971"
"Otzaki Magoula","Greece","Kroll 1981, 1983"
"Pefkakia Magoula","Greece","Kroll 1981, 1983"
"Platia Magoula Zarkou","Greece","Kroll 1991(note in report by Becker); Jones & Halstead 1993"
"Prodromos","Greece","Halstead and Jones 1980"
"Pyrasos","Greece","Renfrew 1966, 1979"
"Servia","Greece","Housley 1981 (unpubl BSc dissertation); Housley & Hubbard 2000"
"Sesklo","Greece","Renfrew 1966; Kroll 1981, 1983"
"Soufli","Greece","Renfrew 1966"
"Toumba Balomenou","Greece","Sarpaki 1995"
"Saliagos","Greek","Renfrew 1968"
"Battonya-Parázstanyai","Hungary","Hartyanyi 1988-9"
"Dévaványa-Réhelyi","Hungary","Hartyanyi and Novaki 1973-4"
"Röszke-Lúdvár","Hungary","Hartyanyi and Novaki 1971-2"
"Szeged-Gyálarét","Hungary","Hartyanyi and Novaki 1971-2"
"Szilhalom","Hungary","Hartyanyi and Mathe 1979"
"Ali Kosh","Iran","Helbaek 1969"
"Ganj Dareh Tepe","Iran","van Zeist et al 1984"
"Tepe Abdul Hosein","Iran","Hubbard 1990"
"Magzalia","Iraq","http://perso.wanadoo.fr/g.willcox/magzaliaseeds.htm"
"M'lefaat","Iraq","Nesbitt 1998"
"Qermez Dere","Iraq","Nesbitt 1991, 1995"
"Yarim Tepe I","Iraq","Bakhteyev and Yanushevich 1980"
"Knowth","Ireland","Collins in Eogan & Roche 1997"
"Tankardstown","Ireland","Monk in Gowen 1988"
"Hayonim Cave","Israel","Hopf and Bar-Yosef 1987"
"Nahal Hemar","Israel","Kislev 1988; Bar-Yosef 1985"
"Netiv Hagdud","Israel","Kislev 1997"
"Ohalo II","Israel","Kislev et al 1992; Nadel and Werker 1999"
"Yiftah'el","Israel","Kislev 1985; Garfinkel et al 1988"
"Catignano","Italy","Costantini and Stancanelli 1994"
"Consuma 1","Italy","Castelletti and Maspero 1992; Costantini and Stancanelli 1994"
"Coppa Nevigata","Italy","Costantini and Stancanelli 1994; Sargent 1987"
"Grotta di Cala Colombo","Italy","Costantini and Stancanelli 1994"
"La Marmotta","Italy","Costantini and Stancanelli 1994"
"Lagnano da Piede","Italy","Costantini and Stancanelli 1994; Jones 1984-87"
"Le Macchie","Italy","Costantini and Stancanelli 1994"
"Masseria Candelaro","Italy","Costantini and Stancanelli 1994; Sargent 1983"
"Masseria Fontanarosa","Italy","Costantini and Stancanelli 1994; Sargent 1983"
"Masseria Santa Tecchia","Italy","Costantini and Stancanelli 1994; Sargent 1983"
"Monte Covolo","Italy","Pals and Voorrips 1979"
"Passo di Corvo","Italy","Costantini and Stancanelli 1994; Follieri (1973), 1983"
"Pizzo di Bodio","Italy","Castelletti and Madella 1991"
"Podere Casanuova","Italy","Cellai Ciuffi and Paoli 1984; Secci 1991; Costantini and Stancanelli 1994"
"Rendina","Italy","Costantini and Stancanelli 1994; Follieri 1977-82"
"Ripa Tetta","Italy","Costantini and Stancanelli 1994"
"Sammardenchia","Italy","Rottoli 1999"
"San Marco, Gubbio","Italy","Costantini & Giorgi 1992; Costantini & Stancanelli 1994"
"Scamuso","Italy","Costantini and Stancanelli 1994"
"Torre Canne","Italy","Costantini and Stancanelli 1994"
"Valer","Italy","Carugati 1993 (1994)"
"Villa Comunale","Italy","Costantini and Stancanelli 1994; Nisbet 1977-82"
"Ain Ghazal","Jordan","Donaldson 1985, 1986"
"Azraq 31","Jordan","Colledge 2001"
"Basta","Jordan","Neef in press"
"Beidha","Jordan","Helbaek 1966; Colledge 2001"
"Dhuweila","Jordan","Colledge in Betts 1998; Colledge 2001; Hather in Betts 1998"
"Iraq ed Dubb","Jordan","Colledge 2001"
"Wadi Fidan A","Jordan","Colledge 2001"
"Wadi Fidan C","Jordan","Colledge 2001"
"Wadi Hammeh 27","Jordan","Colledge 2001"
"Wadi Jilat 13","Jordan","Colledge 2001"
"Wadi Jilat 7","Jordan","Colledge 2001"
"Anza","Macedonia","Gimbutas 1974; Renfrew 1979"
"Vrsnik","Macedonia","Hopf 1961"
"Beek","Netherlands","Bakels 1979"
"Geleen-Haesselderveld","Netherlands","Bakels 1979"
"Geleen-Urmonderbaan","Netherlands","Bakels and Rousselle 1985"
"Hazendonk 1","Netherlands","Bakels 1981"
"Maastricht-Randwijck","Netherlands","Bakels et al 1993"
"Sittard","Netherlands","Bakels 1979"
"Swifterbant S3","Netherlands","van Zeist and Palfenier-Vegter 1981"
"Jericho","Palestinian Territories","Hopf 1983"
"Całowanie","Poland","Kubiak-Martens 1996"
"Gniechowice","Poland","Gluza 1994"
"Guźlin","Poland","Bieniek 2002, in Colledge & Conolly (in prep)"
"Miechowice 4","Poland","Bieniek 2002, in Colledge & Conolly (in prep)"
"Olszanica","Poland","Ford in Milisauskas 1986"
"Smólsk 4","Poland","Bieniek in Colledge & Conolly (in prep)"
"Stary Zamek","Poland","Gluza 1994"
"Wolica Nowa 1","Poland","Bieniek in Colledge & Conolly (in prep)"
"Zagajewice 1","Poland","Bieniek in Colledge & Conolly (in prep)"
"Buraco da Pala","Portugal","Rego & Rodriguez 1993"
"Circea","Romania","Carciumaru 1991"
"Gradistea Ulmilor","Romania","Carciumaru 1991"
"Hirsova","Romania","Carciumaru 1991"
"Liubcova","Romania","Carciumaru 1991"
"Parta","Romania","Carciumaru 1991"
"Tell Laceni","Romania","http:www.cf.ac.uk/srap/Srapmain.html (2nd preliminary report published in November 2001)"
"Vladiceasca","Romania","Carciumaru 1991"
"Achnasavil","Scotland","Boardman in Carter & Tipping 1991"
"Balbridie Timber Hall","Scotland","Fairweather & Ralston 1993"
"Boghead","Scotland","Maclean & Rowley-Conwy in Burl 1984"
"Knap of Howar","Scotland","Dickson in Ritchie 1983"
"Scord of Brouster","Scotland","Milles in Whittle 1986"
"Grotta dell'Uzzo","Sicily","Costantini 1981; Costantini & Stancanelli 1994"
"Bíňa","Slovakia","Hajnalova 1989"
"Blatné","Slovakia","Hajnalova 1989"
"Domica Cave","Slovakia","Hajnalova 1989"
"Šarišské Michal’any","Slovakia","Hajnalova 1993"
"Štúrovo","Slovakia","Hajnalova 1983, 1989"
"Zemplínske Kopčany","Slovakia","Hajnalova 1989"
"Coveta de l'Or","Spain","Hopf & Schubart 1965"
"Cueva de Can Sadurní","Spain","Blasco, Edo, Villalba, Buxo, Juan-Tresserras & Sana 1999"
"Kobaederra","Spain","Zapata 2002"
"La Draga","Spain","Tarrus, Chinchilla & Bosch 1994; Bosch, Chinchilla & Tarrus 1999"
"Los Murciélagos - Zuheros","Spain","Hopf & Munoz 1974; Peña-Chocarro 1999"
"Plansallosa","Spain","Alcade i Gurt et al 1991"
"Ageröd V","Sweden","Larsson 1983"
"Dösjöbro","Sweden","Hjelmqvist 1979"
"Hjulberga 1","Sweden","Hjelmqvist 1979"
"Karlsfält","Sweden","Hjelmqvist 1983"
"Månasken","Sweden","Hjelmqvist 1979"
"Mogetorp","Sweden","Rausing 1990"
"Piledal","Sweden","Hjelmqvist 1983"
"Stora Råby","Sweden","Hjelmqvist 1979"
"Sturup","Sweden","Hjelmqvist 1979"
"Svenstorp","Sweden","Hjelmqvist 1979"
"Cham St. Andreas","Switzerland","Jacomet 1986"
"Egolzwil 3","Switzerland","Bollinger 1994"
"Kleiner Hafner","Switzerland","Jacomet, Brombacher & Dick 1989; Brombacher & Jacomet in Schibler et al 1997"
"Mozartstraße","Switzerland","Jacomet, Brombacher & Dick 1989; Brombacher & Jacomet in Schibler et al 1997"
"Bouqras","Syria","van Zeist and Waterbolk-van Rooijen 1985"
"Djade","Syria","Willcox 1996"
"El Kowm I","Syria","van Zeist in Dornemann 1986"
"El Kowm II","Syria","de Moulins 1997"
"Halula","Syria","Willcox 1996"
"Jerf al Ahmar","Syria","Willcox and Fornite 1999; Willcox 1996"
"Tell Abu Hureyra","Syria","Hillman et al 1989; de Moulins 1997; Moore et al 2000"
"Tell Aswad","Syria","van Zeist and Bakker-Heeres 1982"
"Tell Ghoraifé","Syria","van Zeist and Bakker-Heeres 1982"
"Tell Mureybit","Syria","van Zeist and Bakker-Heeres 1984a; Willcox and Fornite 1999"
"Tell Ramad","Syria","van Zeist and Bakker-Heeres 1982"
"Tell Ras Shamra","Syria","van Zeist and Bakker-Heeres 1984b"
"Aşıklı Höyük","Turkey","van Zeist and de Roller 1995"
"Cafer Höyük","Turkey","de Moulins 1997"
"Can Hasan III","Turkey","Hillman 1972, 1978"
"Çatalhöyük","Turkey","http://catal.arch.cam.ac.uk/study/volume2/botanical_Text.pdf [/_tables.pdf]"
"Çayönü","Turkey","van Zeist and de Roller 1994"
"Erbaba","Turkey","van Zeist and Buitenhuis 1983"
"Hacilar","Turkey","Helbaek 1970"
"Hallan Çemi Tepesi","Turkey","Rosenberg et al 1998"
"Nevalı Çori","Turkey","Pasternak 1998"
"Moel y Gerddi","Wales","Williams in Kelly 1988"
"Belotic","Yugoslavia","Borojevic 1990 (unpubl dissertation)"
"Divostin","Yugoslavia","Behre in McPherron and Srejovic 1988"
"Gornja Tuzla","Yugoslavia","Hopf 1967, 1974"
"Lisicici","Yugoslavia","Hopf 1958"
"Lug","Yugoslavia","Hopf 1958"
"Mesarci","Yugoslavia","Borojevic 1990 (unpubl dissertation)"
"Opovo","Yugoslavia","Borojevic 1998"
"Petnica","Yugoslavia","Borojevic 1990 (unpubl dissertation)"
"Pokrovnik","Yugoslavia","Karg and Müller 1990"
"Pristina-Predionica","Yugoslavia","Hopf 1974"
"Selevac","Yugoslavia","Hopf 1974; McLaren and Hubbard 1990"
"Valac","Yugoslavia","Hopf 1974"
"Zablace","Yugoslavia","Borojevic 1990 (unpubl dissertation)"
