taxon,TOTALS,Arjoune (5520-Arj),A??kl? Höyük (7670-AsH),Azraq 31 (7335-Az31),Basta (7175-BA),Beidha (7925-BE),Bouqras (6900-BQ),Bouqras (6900-BQs),Cafer Höyük (7350-CHI),Cafer Höyük (7800-CHII),Cafer Höyük (8100-CHIII),Can Hasan III (7150-CHaIII),Cape Andreas Kastros (6450-CAK),Çatalhöyük (6660-CtHIX-X),Çatalhöyük (6660-CtHVI-VIII),Çatalhöyük (6660-CtHXI-XII),Çayönü (6400-CAII),Çayönü (8365-CAId),Çayönü (8550-CAIb),Çayönü (8550-CAIc),Çayönü (9500-CAIa),Çayönü (CAIe),Chia Sabz (8075-ChiSab),Choga Mami (5795-CM-S),Chogha Bonut (6900-ChoBon),Chogha Golan (8200-ChoGo),Demirköy (9360-Demir),Dhra' (9500-DHRA),Dhuweila (6100-DHII),Dhuweila (7265-DHI),Dja'de (8550-DJ),El Kowm II (6675-EKII),El Kowm I (6220-EKIa),El Kowm I (6220-EKIb),El-Hemmeh (6915-ElHemL),El-Hemmeh (8855-ElHem),Erbaba (6450-ER),Ganj Dareh Tepe (7850-GD),Ganj Dareh Tepe (7850-GD-E),Gesher (9950-Gesh),Göbekli Tepe (8900-GoTep),Hacilar (6290-HrII),Hacilar (7875-HrI),Hallan Çemi Tepesi (9485-HCTII),Hasankey Höyük (9440-HasHoy),Iraq ed Dubb (9250-IeDI),Jarmo (7300-Jarmo),Jerf al Ahmar (9075-JA),Jericho (6000-JEIII),Jericho II (7850-JEII),Khirokitia (6475-KhV),Kissonerga Mylouthkia (7150-KMy1B),Kissonerga Mylouthkia (8500-KMy1A),Ko¨rtik Tepe (9500-KortTep),Krittou Marottou 'Ais Yiorkis (7550-Ayiorkis),Magzalia (6650-Mz),M'lefaat (9150-Mf),M'lefaa (9150-MfII),Nahal Hemar (7600-Nhe),Nahal Zehora II (5450-NZIIWR),Nahal Zehora II (6050-NZIIPN),Netiv Hagdud (9075-NH),Neval? Çori (8275-NC),Ohalo II (23000-OII),Qermez Dere (9450-QDII),Salat Cami Yani (6345-SalCY),Sha'ar Hagolan (6230-ShaHag),Tell 'Abr (9120-TELABR),Tell Abu Hureyra (10650-AH1),Tell Abu Hureyra (6200-AH2C),Tell Abu Hureyra (7400-AH2A),Tell Abu Hureyra (7400-AH2B),Tell Aqab (5500-TAQ),Tell Aswad (7600-AsII),Tell El-Kerkh (7550-ElKerk3),Tell El-Kerkh (8430-ElKerk2),Tell Ghoraifé (7425-GhI),Tell Ghoraifé (7425-GhII),Tell Hallula (5925-TelHLP),Tell Hallula (6550-TelHEP),Tell Hallula (7320-TelHLB),Tell Hallula (7550-TelHMB),Tell Kurdu (5550-TKU),Tell Mureybit (8300-MuIV),Tell Mureybit (9950-MuI),Tell Mureybit (9950-MuII),Tell Mureybit (9100-MuIII),Tell Nebi Mend (6830-TNM),Tell Qaramel (10000-TQA1),Tell Qarassa (8590-QaraN),Tell Ramad (6975-RaI),Tell Ramad (6975-RaII),Tell Ras Shamra (6340-RsVa),Tell Ras Shamra (6540-RsVb),Tell Ras Shamra (7100-RsVc),Tell Sabi Abyad (6300-TSAII),Tell Sabi Abyad (5960-TSAI),Tepe Marani (5265-TepMar),Umm Qseir (5750-UQ),Wadi Fidan A (7275-WFA),Wadi Fidan C (6350-WFC),Wadi Hammeh 27 (11875-WH27),Wadi Jilat 13 (6815-WJ13),Wadi Jilat 6 (11330-WJ6),Wadi Jilat 7 (7775-WJ7I),Wadi Jilat 7 (7775-WJ7II),Yarim Tepe I (6400-YTI),Yiftah'el (7950-Y),el-Wad (12000-elWad),Kalavasos Tenta (7175-Kten1-5),Dederiyeh Cave (11065-DedC),P?narba?? (8800 Pinar),Domuztepe (5590-Dtep)
Brassicaceae and Chenopodiaceae,12824,0,14,4,0,0,1,0,60,1,2,1,0,16,2632,21,0,1,1,0,0,0,0,0,0,0,1,3,3,0,383,72,10,3,25,0,1,6,2,27,0,3,1,25,1,3,0,675,3,0,0,3,1,120,1,0,0,23,0,0,0,7,581,3,0,0,146,807,219,92,454,188,0,10,2,1,1,0,0,0,0,0,5,0,1,31,3,0,22,57,0,0,0,0,0,0,0,1,0,12,0,2,1330,200,8,119,0,0,1,7,4,3,61
other weeds total including indet. Types,88973,55,3217,113,94,3,68,146,48,5,175,3003,34,238,3796,119,9,21,1612,30,1,1,154,136,19,0,134,672,18,15,6533,2258,1030,734,8,155,1848,23,49,8,16,162,19,3447,242,101,21,1363,0,0,15,65,9,126,1,23,0,1387,1194,2,6,1514,1753,1253,211,111,21,5,4698,216,917,660,19,2369,42,32,63,830,94,278,682,486,1230,83,409,641,369,118,1567,874,1770,5356,173,8,9,7,490,161,22,1,3,13,13278,74,133,582,0,0,10,1094,568,90,324
indet nut/fruit,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1376,0
indet wild,10171,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,321,0,0,3014,0,0,0,87,0,0,0,0,117,0,0,0,304,119,0,12,2867,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,166,0,152,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,85,0,0,0,0,347,520,888,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,2,0,60,731,135
Total number of items,2168296,2946,22268,195,609,94,416,6109,706,262,1149,4238,1048,2454,58329,1751,1983,4470,4060,968,36,164,579,3026,529,661,911,4909,27,42,32578,5583,1412,3158,192,3554,19775,609,447,164,505,191,31,13286,11839,851,429,36162,9158,7496,7613,1880,336,761,1378,734,772,4446,1279,66,7064,13789,33985,2326,600,3091,640,4426,19758,1391,6885,6720,422,31328,3759,23533,244,2646,312,1458,1987,1824,16043,140,924,2186,3279,1904,12838,8837,8149,65027,9754,1656,217,2193,18972,1360,873,304,2937,45,22553,285,694,3068,285,1402750,135,2103,12367,3386,20639
"TOTAL including ""D"" indet cereals and pulses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crops with cereal and pulse indet,1810130,2412,956,42,204,51,58,5948,411,218,756,126,511,1181,37185,732,1940,4410,2326,903,28,158,160,506,451,142,7,1809,0,5,13431,1243,49,215,47,2006,17905,236,95,4,38,17,11,880,45,157,336,18608,9127,7496,4492,654,183,26,1349,274,501,1750,70,54,7002,4422,31217,691,130,2863,91,3509,1076,658,592,772,206,23631,250,953,132,1433,104,752,961,707,14567,21,19,28,2398,832,4917,3188,3153,54065,9002,1515,167,641,16649,801,813,275,2875,8,256,0,46,600,285,1402750,61,358,218,28,19234
fruits/nuts,83424,189,17942,1,198,19,4,1,23,12,87,978,10,87,182,29,9,4,10,6,2,2,0,31,0,0,6,1836,0,0,1147,127,20,2111,3,1137,0,2,2,1,445,7,0,195,11363,483,4,4594,0,0,276,9,1,0,4,5,1,1,8,1,21,4960,149,17,3,38,124,2,411,3,109,42,0,139,3286,22359,3,0,1,6,30,25,0,2,16,103,24,2,4390,774,134,148,58,45,28,0,1,16,1,9,16,3,321,0,16,74,0,0,17,59,11179,966,89
sedges/nutlets,39620,11,19,19,0,0,165,3,31,0,3,54,0,639,2394,498,6,9,34,6,1,1,0,18,0,0,668,0,1,0,39,1,0,0,0,0,9,18,105,0,0,0,0,8146,0,0,7,505,0,0,1,2,0,117,1,8,0,9,0,0,0,2,16,3,2,5,2,0,9724,105,486,182,0,1326,164,1,25,87,3,0,2,67,22,5,363,1129,408,108,11,66,3,54,75,44,2,1507,47,7,0,0,0,0,1,0,0,0,0,0,0,9,0,35,25
wild grasses,81527,156,75,8,18,10,41,5,128,26,100,71,488,229,11606,123,18,21,71,18,4,1,189,1791,53,429,7,117,3,2,6472,184,40,9,22,155,12,220,77,7,6,0,0,204,14,107,10,6789,28,0,2814,1140,118,313,22,259,270,390,7,9,35,1705,266,359,37,40,95,99,2620,197,876,1274,10,2766,6,35,20,252,109,404,201,320,134,4,47,67,46,463,1237,2961,233,2365,442,44,10,36,744,163,16,4,42,7,757,11,64,250,0,0,9,544,313,149,749
other,153595,178,3276,125,189,14,148,152,113,6,203,3009,39,318,6962,369,10,26,1619,35,1,2,230,680,25,90,223,1147,23,35,11489,4028,1303,823,120,256,1849,133,168,152,16,167,20,3861,417,104,72,5666,3,0,30,75,34,305,2,188,0,2296,1194,2,6,2700,2337,1256,428,145,328,816,5927,428,4822,4450,206,3466,53,185,64,874,95,296,793,705,1320,108,479,859,403,499,2283,1848,4626,8395,177,8,10,9,1531,373,43,16,4,27,21218,274,568,2144,0,0,48,1133,657,2208,542
% crops,83.48%,81.87%,4.29%,21.54%,33.50%,54.26%,13.94%,97.36%,58.22%,83.21%,65.80%,2.97%,48.76%,48.13%,63.75%,41.80%,97.83%,98.66%,57.29%,93.29%,77.78%,96.34%,27.63%,16.72%,85.26%,21.48%,0.77%,36.85%,0.00%,11.90%,41.23%,22.26%,3.47%,6.81%,24.48%,56.44%,90.54%,38.75%,21.25%,2.44%,7.52%,8.90%,35.48%,6.62%,0.38%,18.45%,78.32%,51.46%,99.66%,100.00%,59.00%,34.79%,54.46%,3.42%,97.90%,37.33%,64.90%,39.36%,5.47%,81.82%,99.12%,32.07%,91.86%,29.71%,21.67%,92.62%,14.22%,79.28%,5.45%,47.30%,8.60%,11.49%,48.82%,75.43%,6.65%,4.05%,54.10%,54.16%,33.33%,51.58%,48.36%,38.76%,90.80%,15.00%,2.06%,1.28%,73.13%,43.70%,38.30%,36.08%,38.69%,83.14%,92.29%,91.49%,76.96%,29.23%,87.76%,58.90%,93.13%,90.46%,97.89%,17.78%,1.14%,0.00%,6.63%,19.56%,100.00%,100.00%,45.19%,17.02%,1.76%,0.83%,93.19%
% fruits/nuts,3.85%,6.42%,80.57%,0.51%,32.51%,20.21%,0.96%,0.02%,3.26%,4.58%,7.57%,23.08%,0.95%,3.55%,0.31%,1.66%,0.45%,0.09%,0.25%,0.62%,5.56%,1.22%,0.00%,1.02%,0.00%,0.00%,0.66%,37.40%,0.00%,0.00%,3.52%,2.27%,1.42%,66.85%,1.56%,31.99%,0.00%,0.33%,0.45%,0.61%,88.12%,3.66%,0.00%,1.47%,95.98%,56.76%,0.93%,12.70%,0.00%,0.00%,3.63%,0.48%,0.30%,0.00%,0.29%,0.68%,0.13%,0.02%,0.63%,1.52%,0.30%,35.97%,0.44%,0.73%,0.50%,1.23%,19.38%,0.05%,2.08%,0.22%,1.58%,0.63%,0.00%,0.44%,87.42%,95.01%,1.23%,0.00%,0.32%,0.41%,1.51%,1.37%,0.00%,1.43%,1.73%,4.71%,0.73%,0.11%,34.20%,8.76%,1.64%,0.23%,0.59%,2.72%,12.90%,0.00%,0.01%,1.18%,0.11%,2.96%,0.54%,6.67%,1.42%,0.00%,2.31%,2.41%,0.00%,0.00%,12.59%,2.81%,90.39%,28.53%,0.43%
%nutlets,1.83%,0.37%,0.09%,9.74%,0.00%,0.00%,39.66%,0.05%,4.39%,0.00%,0.26%,1.27%,0.00%,26.04%,4.10%,28.44%,0.30%,0.20%,0.84%,0.62%,2.78%,0.61%,0.00%,0.59%,0.00%,0.00%,73.33%,0.00%,3.70%,0.00%,0.12%,0.02%,0.00%,0.00%,0.00%,0.00%,0.05%,2.96%,23.49%,0.00%,0.00%,0.00%,0.00%,61.31%,0.00%,0.00%,1.63%,1.40%,0.00%,0.00%,0.01%,0.11%,0.00%,15.37%,0.07%,1.09%,0.00%,0.20%,0.00%,0.00%,0.00%,0.01%,0.05%,0.13%,0.33%,0.16%,0.31%,0.00%,49.22%,7.55%,7.06%,2.71%,0.00%,4.23%,4.36%,0.00%,10.25%,3.29%,0.96%,0.00%,0.10%,3.67%,0.14%,3.57%,39.29%,51.65%,12.44%,5.67%,0.09%,0.75%,0.04%,0.08%,0.77%,2.66%,0.92%,68.72%,0.25%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,1.03%,0.12%
%wild grasses,3.76%,5.30%,0.34%,4.10%,2.96%,10.64%,9.86%,0.08%,18.13%,9.92%,8.70%,1.68%,46.56%,9.33%,19.90%,7.02%,0.91%,0.47%,1.75%,1.86%,11.11%,0.61%,32.64%,59.19%,10.02%,64.90%,0.77%,2.38%,11.11%,4.76%,19.87%,3.30%,2.83%,0.28%,11.46%,4.36%,0.06%,36.12%,17.23%,4.27%,1.19%,0.00%,0.00%,1.54%,0.12%,12.57%,2.33%,18.77%,0.31%,0.00%,36.96%,60.64%,35.12%,41.13%,1.60%,35.29%,34.97%,8.77%,0.55%,13.64%,0.50%,12.36%,0.78%,15.43%,6.17%,1.29%,14.84%,2.24%,13.26%,14.16%,12.72%,18.96%,2.37%,8.83%,0.16%,0.15%,8.20%,9.52%,34.94%,27.71%,10.12%,17.54%,0.84%,2.86%,5.09%,3.06%,1.40%,24.32%,9.64%,33.51%,2.86%,3.64%,4.53%,2.66%,4.61%,1.64%,3.92%,11.99%,1.83%,1.32%,1.43%,15.56%,3.36%,3.86%,9.22%,8.15%,0.00%,0.00%,6.67%,25.87%,2.53%,4.40%,3.63%
"TOTAL excluding""D"" indet cereals and pulses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crops without cereal and pulse indet,1758204,2332,907,11,183,7,55,4263,318,179,639,126,511,909,34949,609,1939,4408,2324,901,26,157,160,506,341,108,7,558,0,4,13430,1007,49,215,28,330,17904,236,95,4,38,17,11,880,45,104,335,18591,9127,7496,4492,635,159,9,424,274,501,1750,70,54,7002,4196,29147,691,130,2636,50,3509,995,177,355,498,202,23631,250,953,131,1432,104,752,961,702,3343,21,19,28,2398,773,4917,3143,3152,54064,9001,1514,166,641,16649,637,793,274,2871,7,100,0,31,331,285,1402750,61,358,215,18,18167
fruits/nuts,83424,189,17942,1,198,19,4,1,23,12,87,978,10,87,182,29,9,4,10,6,2,2,0,31,0,0,6,1836,0,0,1147,127,20,2111,3,1137,0,2,2,1,445,7,0,195,11363,483,4,4594,0,0,276,9,1,0,4,5,1,1,8,1,21,4960,149,17,3,38,124,2,411,3,109,42,0,139,3286,22359,3,0,1,6,30,25,0,2,16,103,24,2,4390,774,134,148,58,45,28,0,1,16,1,9,16,3,321,0,16,74,0,0,17,59,11179,966,89
sedges/nutlets,39620,11,19,19,0,0,165,3,31,0,3,54,0,639,2394,498,6,9,34,6,1,1,0,18,0,0,668,0,1,0,39,1,0,0,0,0,9,18,105,0,0,0,0,8146,0,0,7,505,0,0,1,2,0,117,1,8,0,9,0,0,0,2,16,3,2,5,2,0,9724,105,486,182,0,1326,164,1,25,87,3,0,2,67,22,5,363,1129,408,108,11,66,3,54,75,44,2,1507,47,7,0,0,0,0,1,0,0,0,0,0,0,9,0,35,25
wild grasses,81527,156,75,8,18,10,41,5,128,26,100,71,488,229,11606,123,18,21,71,18,4,1,189,1791,53,429,7,117,3,2,6472,184,40,9,22,155,12,220,77,7,6,0,0,204,14,107,10,6789,28,0,2814,1140,118,313,22,259,270,390,7,9,35,1705,266,359,37,40,95,99,2620,197,876,1274,10,2766,6,35,20,252,109,404,201,320,134,4,47,67,46,463,1237,2961,233,2365,442,44,10,36,744,163,16,4,42,7,757,11,64,250,0,0,9,544,313,149,749
other ,205521,258,3325,156,210,58,151,1837,206,45,320,3009,39,590,9198,492,11,28,1621,37,3,3,230,680,135,124,223,2398,23,36,11490,4264,1303,823,139,1932,1850,133,168,152,16,167,20,3861,417,157,73,5683,3,0,30,94,58,322,927,188,0,2296,1194,2,6,2926,4407,1256,428,372,369,816,6008,909,5059,4724,210,3466,53,185,65,875,95,296,793,710,12544,108,479,859,403,558,2283,1893,4627,8396,178,9,11,9,1531,537,63,17,8,28,21374,274,583,2413,0,0,48,1133,660,2218,1609
% crops,81.09%,79.16%,4.07%,5.64%,30.05%,7.45%,13.22%,69.78%,45.04%,68.32%,55.61%,2.97%,48.76%,37.04%,59.92%,34.78%,97.78%,98.61%,57.24%,93.08%,72.22%,95.73%,27.63%,16.72%,64.46%,16.34%,0.77%,11.37%,0.00%,9.52%,41.22%,18.04%,3.47%,6.81%,14.58%,9.29%,90.54%,38.75%,21.25%,2.44%,7.52%,8.90%,35.48%,6.62%,0.38%,12.22%,78.09%,51.41%,99.66%,100.00%,59.00%,33.78%,47.32%,1.18%,30.77%,37.33%,64.90%,39.36%,5.47%,81.82%,99.12%,30.43%,85.76%,29.71%,21.67%,85.28%,7.81%,79.28%,5.04%,12.72%,5.16%,7.41%,47.87%,75.43%,6.65%,4.05%,53.69%,54.12%,33.33%,51.58%,48.36%,38.49%,20.84%,15.00%,2.06%,1.28%,73.13%,40.60%,38.30%,35.57%,38.68%,83.14%,92.28%,91.43%,76.50%,29.23%,87.76%,46.84%,90.84%,90.13%,97.75%,15.56%,0.44%,0.00%,4.47%,10.79%,100.00%,100.00%,45.19%,17.02%,1.74%,0.53%,88.02%
% fruits/nuts,3.85%,6.42%,80.57%,0.51%,32.51%,20.21%,0.96%,0.02%,3.26%,4.58%,7.57%,23.08%,0.95%,3.55%,0.31%,1.66%,0.45%,0.09%,0.25%,0.62%,5.56%,1.22%,0.00%,1.02%,0.00%,0.00%,0.66%,37.40%,0.00%,0.00%,3.52%,2.27%,1.42%,66.85%,1.56%,31.99%,0.00%,0.33%,0.45%,0.61%,88.12%,3.66%,0.00%,1.47%,95.98%,56.76%,0.93%,12.70%,0.00%,0.00%,3.63%,0.48%,0.30%,0.00%,0.29%,0.68%,0.13%,0.02%,0.63%,1.52%,0.30%,35.97%,0.44%,0.73%,0.50%,1.23%,19.38%,0.05%,2.08%,0.22%,1.58%,0.63%,0.00%,0.44%,87.42%,95.01%,1.23%,0.00%,0.32%,0.41%,1.51%,1.37%,0.00%,1.43%,1.73%,4.71%,0.73%,0.11%,34.20%,8.76%,1.64%,0.23%,0.59%,2.72%,12.90%,0.00%,0.01%,1.18%,0.11%,2.96%,0.54%,6.67%,1.42%,0.00%,2.31%,2.41%,0.00%,0.00%,12.59%,2.81%,90.39%,28.53%,0.43%
%nutlets,1.83%,0.37%,0.09%,9.74%,0.00%,0.00%,39.66%,0.05%,4.39%,0.00%,0.26%,1.27%,0.00%,26.04%,4.10%,28.44%,0.30%,0.20%,0.84%,0.62%,2.78%,0.61%,0.00%,0.59%,0.00%,0.00%,73.33%,0.00%,3.70%,0.00%,0.12%,0.02%,0.00%,0.00%,0.00%,0.00%,0.05%,2.96%,23.49%,0.00%,0.00%,0.00%,0.00%,61.31%,0.00%,0.00%,1.63%,1.40%,0.00%,0.00%,0.01%,0.11%,0.00%,15.37%,0.07%,1.09%,0.00%,0.20%,0.00%,0.00%,0.00%,0.01%,0.05%,0.13%,0.33%,0.16%,0.31%,0.00%,49.22%,7.55%,7.06%,2.71%,0.00%,4.23%,4.36%,0.00%,10.25%,3.29%,0.96%,0.00%,0.10%,3.67%,0.14%,3.57%,39.29%,51.65%,12.44%,5.67%,0.09%,0.75%,0.04%,0.08%,0.77%,2.66%,0.92%,68.72%,0.25%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,1.03%,0.12%
%wild grasses,3.76%,5.30%,0.34%,4.10%,2.96%,10.64%,9.86%,0.08%,18.13%,9.92%,8.70%,1.68%,46.56%,9.33%,19.90%,7.02%,0.91%,0.47%,1.75%,1.86%,11.11%,0.61%,32.64%,59.19%,10.02%,64.90%,0.77%,2.38%,11.11%,4.76%,19.87%,3.30%,2.83%,0.28%,11.46%,4.36%,0.06%,36.12%,17.23%,4.27%,1.19%,0.00%,0.00%,1.54%,0.12%,12.57%,2.33%,18.77%,0.31%,0.00%,36.96%,60.64%,35.12%,41.13%,1.60%,35.29%,34.97%,8.77%,0.55%,13.64%,0.50%,12.36%,0.78%,15.43%,6.17%,1.29%,14.84%,2.24%,13.26%,14.16%,12.72%,18.96%,2.37%,8.83%,0.16%,0.15%,8.20%,9.52%,34.94%,27.71%,10.12%,17.54%,0.84%,2.86%,5.09%,3.06%,1.40%,24.32%,9.64%,33.51%,2.86%,3.64%,4.53%,2.66%,4.61%,1.64%,3.92%,11.99%,1.83%,1.32%,1.43%,15.56%,3.36%,3.86%,9.22%,8.15%,0.00%,0.00%,6.67%,25.87%,2.53%,4.40%,3.63%
difference between including and excluding cereal indet. ,-2.39%,-2.72%,-0.22%,-15.90%,-3.45%,-46.81%,-0.72%,-27.58%,-13.17%,-14.89%,-10.18%,0.00%,0.00%,-11.08%,-3.83%,-7.02%,-0.05%,-0.04%,-0.05%,-0.21%,-5.56%,-0.61%,0.00%,0.00%,-20.79%,-5.14%,0.00%,-25.48%,0.00%,-2.38%,0.00%,-4.23%,0.00%,0.00%,-9.90%,-47.16%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-6.23%,-0.23%,-0.05%,0.00%,0.00%,0.00%,-1.01%,-7.14%,-2.23%,-67.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.64%,-6.09%,0.00%,0.00%,-7.34%,-6.41%,0.00%,-0.41%,-34.58%,-3.44%,-4.08%,-0.95%,0.00%,0.00%,0.00%,-0.41%,-0.04%,0.00%,0.00%,0.00%,-0.27%,-69.96%,0.00%,0.00%,0.00%,0.00%,-3.10%,0.00%,-0.51%,-0.01%,0.00%,-0.01%,-0.06%,-0.46%,0.00%,0.00%,-12.06%,-2.29%,-0.33%,-0.14%,-2.22%,-0.69%,0.00%,-2.16%,-8.77%,0.00%,0.00%,0.00%,0.00%,-0.02%,-0.30%,-5.17%
