canon	variant	genus	family	crop_type	grass_type	legume_type	wood
Sambucus ebulus	Sambucus ebulus L.	Sambucus	Adoxaceae	Wild	NA	NA	NA
Aizoon hispanicum	Aizoon hispanicum	Aizoon	Aizoaceae	Wild	NA	NA	NA
Aizoon sp.	Aizoon	Aizoon	Aizoaceae	Wild	NA	NA	NA
Aizoon sp.	Aizoon sp.	Aizoon	Aizoaceae	Wild	NA	NA	NA
Mesembryanthemum nodiflorum	Mesembryanthemum nodiflorum	Mesembryanthemum	Aizoaceae	Wild	NA	NA	NA
Amaranthus sp.	Amaranthus	Amaranthus	Amaranthaceae	Wild	NA	NA	NA
Amaranthus sp.	Amaranthus sp.	Amaranthus	Amaranthaceae	Wild	NA	NA	NA
Amaranthus sp.	Amaranthus sp. uncarbonized	Amaranthus	Amaranthaceae	Wild	NA	NA	NA
Anabasis articulata	Anabasis articulata	Anabasis	Amaranthaceae	Wild	NA	NA	NA
Anabasis sp.	Anabasis sp. wood	Anabasis	Amaranthaceae	Wild	NA	NA	TRUE
Bassia arabica	Bassia arabica	Bassia	Amaranthaceae	Wild	NA	NA	NA
Bassia muricata	Bassia muricata	Bassia	Amaranthaceae	Wild	NA	NA	NA
Bassia prostrata	Bassia prostrata	Bassia	Amaranthaceae	Wild	NA	NA	NA
Bassia sp.	cf. Kochia, wood	Bassia	Amaranthaceae	Wild	NA	NA	TRUE
Beta sp.	Beta	Beta	Amaranthaceae	Wild	NA	NA	NA
Beta sp.	Beta sp.	Beta	Amaranthaceae	Wild	NA	NA	NA
Beta vulgaris	Beta vulgaris L.	Beta	Amaranthaceae	Wild	NA	NA	NA
Camphorosma monspeliaca	Camphorosma monspeliaca	Camphorosma	Amaranthaceae	Wild	NA	NA	NA
Camphorosma sp.	Camphorosma	Camphorosma	Amaranthaceae	Wild	NA	NA	NA
Cornulaca monacantha	Cornulaca monacantha	Cornulaca	Amaranthaceae	Wild	NA	NA	NA
Halothamnus hierochunticus	Halothamnus hierochunticus	Halothamnus	Amaranthaceae	Wild	NA	NA	NA
Krascheninnikovia ceratoides	Krascheninnikovia ceratoides	Krascheninnikovia	Amaranthaceae	Wild	NA	NA	NA
NA	Amaranthaceae	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Anabasis/Noaea	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Hammada/Salsola	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Salsola/Suaeda	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Salsoleae	NA	Amaranthaceae	Wild	NA	NA	NA
Polycnemum majus	Polycnemum majus A.Braun	Polycnemum	Amaranthaceae	Wild	NA	NA	NA
Salsola inermis	Salsola inermis Forssk.	Salsola	Amaranthaceae	Wild	NA	NA	NA
Salsola kali	Salsola kali	Salsola	Amaranthaceae	Wild	NA	NA	NA
Salsola sp.	Salsola	Salsola	Amaranthaceae	Wild	NA	NA	NA
Salsola volkensii	Salsola volkensii	Salsola	Amaranthaceae	Wild	NA	NA	NA
Suaeda fruticosa	Suaeda fruticosa	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda maritima	Suaeda maritima L.	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda palaestina	Suaeda palaestina	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	cf. Suaeda sp.	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	cf. Suaeda sp. uncarbonized	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	Suaeda	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	Suaeda sp.	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Allium sativum	Allium sativum	Allium	Amaryllidaceae	Wild	NA	NA	NA
Pistacia atlantica	Pistacia atlantica	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia atlantica	Pistacia atlantica Desf.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia atlantica	Pistacia atlantica Desf. wood	Pistacia	Anacardiaceae	Wild	NA	NA	TRUE
Pistacia lentiscus	Pistacia lentiscus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia lentiscus	Pistacia lentiscus L. wood	Pistacia	Anacardiaceae	Wild	NA	NA	TRUE
Pistacia palaestina	Pistacia palaestina	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia palaestina	Pistacia palaestina wood	Pistacia	Anacardiaceae	Wild	NA	NA	TRUE
Pistacia sp.	cf. Pistacia sp.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia atlantica/khinjuk	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia atlantica/palaestina	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia atlantica/terebinthus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia sp.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia terebinthus/lentiscus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia terebinthus	Pistacia terebinthus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia terebinthus	Pistacia terebinthus L.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia vera	Pistacia vera L.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pisticia spp.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Ammi majus	Ammi majus	Ammi	Apiaceae	Wild	NA	NA	NA
Apium graveolens	Apium graveolens	Apium	Apiaceae	Wild	NA	NA	NA
Bifora sp.	Bifora	Bifora	Apiaceae	Wild	NA	NA	NA
Bupleurum lancifolium	Bupleurum lancifolium	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum rotundifolium	Bupleurum rotundifolium	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum sp.	Bupleurum	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum sp.	Bupleurum sp. L.	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum sp.	cf. Bupleurum sp.	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum subovatum	Bupleurum subovatum	Bupleurum	Apiaceae	Wild	NA	NA	NA
Coriandrum sativum	Coriandrum sativum	Coriandrum	Apiaceae	Wild	NA	NA	NA
Cuminum cyminum	Cuminum cyminum	Cuminum	Apiaceae	Wild	NA	NA	NA
NA	Apiaceae indeterminate	NA	Apiaceae	Wild	NA	NA	NA
NA	Umbelliferae	NA	Apiaceae	Wild	NA	NA	NA
Torilis nodosa	Torilis nodosa	Torilis	Apiaceae	Wild	NA	NA	NA
Torilis sp.	Torilis type	Torilis	Apiaceae	Wild	NA	NA	NA
NA	Asclepiadaceae	NA	Apocynaceae	Wild	NA	NA	NA
Cladium mariscus	Cladium mariscus	Cladium	Araceae	Wild	NA	NA	NA
Cladium mariscus	Cladium mariscus (L.) Pohl	Cladium	Araceae	Wild	NA	NA	NA
Asparagus sp.	Asparagus	Asparagus	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	Bellevalia	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	Bellevalia sp.	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	Bellevalia type	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	cf. Bellevalia sp.	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Hyacinthus sp.	Hyacinthus sp.	Hyacinthus	Asparagaceae	Wild	NA	NA	NA
Muscari sp.	Muscari	Muscari	Asparagaceae	Wild	NA	NA	NA
NA	Bellevalia/Muscari	NA	Asparagaceae	Wild	NA	NA	NA
NA	Bellevalia/Muscari sp.	NA	Asparagaceae	Wild	NA	NA	NA
NA	Bellevalia/Ornithogalum	NA	Asparagaceae	Wild	NA	NA	NA
NA	Muscari/Ornithogalum	NA	Asparagaceae	Wild	NA	NA	NA
NA	Ornithogalum/Muscari	NA	Asparagaceae	Wild	NA	NA	NA
Ornithogalum sp.	Ornithogalum	Ornithogalum	Asparagaceae	Wild	NA	NA	NA
Ornithogalum sp.	Ornithogalum sp.	Ornithogalum	Asparagaceae	Wild	NA	NA	NA
Ornithogalum sp.	Ornithogalum type	Ornithogalum	Asparagaceae	Wild	NA	NA	NA
Polygonatum sp.	Polygonatum sp.	Polygonatum	Asparagaceae	Wild	NA	NA	NA
Asphodelus aestivus	Asphodelus aestivus	Asphodelus	Asphodelaceae	Wild	NA	NA	NA
Asphodelus sp.	Asphodelus	Asphodelus	Asphodelaceae	Wild	NA	NA	NA
Asphodelus tenuifolius	Asphodelus tenuifolius	Asphodelus	Asphodelaceae	Wild	NA	NA	NA
Achillea sp.	Achillea	Achillea	Asteraceae	Wild	NA	NA	NA
Achillea wilhelmsii	Achillea wilhelmsii	Achillea	Asteraceae	Wild	NA	NA	NA
Anthemis arvensis	Anthemis arvensis L.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis cotula	Anthemis cotula L.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis pseudocotula	Anthemis pseudocotula	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis pseudocotula	Anthemis pseudocotula Boiss.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis sp.	Anthemis sp. L.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anvillea garcinii	Anvillea garcinii	Anvillea	Asteraceae	Wild	NA	NA	NA
Arctium lappa	Arctium lappa (Boiss. & Bal.)	Arctium	Asteraceae	Wild	NA	NA	NA
Artemisia sp.	Artemisia	Artemisia	Asteraceae	Wild	NA	NA	NA
Artemisia sp.	Artemisia sp. L.	Artemisia	Asteraceae	Wild	NA	NA	NA
Artemisia sp.	cf. Artemisia sp.	Artemisia	Asteraceae	Wild	NA	NA	NA
Asteriscus graveolens	Asteriscus graveolens	Asteriscus	Asteraceae	Wild	NA	NA	NA
Calendula arvensis	Calendula arvensis L.	Calendula	Asteraceae	Wild	NA	NA	NA
Calendula sp.	Calendula	Calendula	Asteraceae	Wild	NA	NA	NA
Carduus australis	Carduus australis	Carduus	Asteraceae	Wild	NA	NA	NA
Carthamus creticus	Carthamus creticus type	Carthamus	Asteraceae	Wild	NA	NA	NA
Carthamus sp.	Carthamus	Carthamus	Asteraceae	Wild	NA	NA	NA
Carthamus sp.	Carthamus sp. L.	Carthamus	Asteraceae	Wild	NA	NA	NA
Carthamus tenuis	Carthamus tenuis	Carthamus	Asteraceae	Wild	NA	NA	NA
Centaurea pallescens	Centaurea pallescens	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea ammocyanus/pallescens	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea sp. L.	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea sp. L. uncarbonized	Centaurea	Asteraceae	Wild	NA	NA	NA
Ceruana pratensis	Ceruana pratensis	Ceruana	Asteraceae	Wild	NA	NA	NA
Chrysanthemum coronarium	Chrysanthemum coronarium	Chrysanthemum	Asteraceae	Wild	NA	NA	NA
Chrysanthemum sp.	Chrysanthemum sp.	Chrysanthemum	Asteraceae	Wild	NA	NA	NA
Cotula anthemoides	Cotula anthemoides	Cotula	Asteraceae	Wild	NA	NA	NA
Cotula sp.	Cotula type	Cotula	Asteraceae	Wild	NA	NA	NA
Crepis sp.	Crepis	Crepis	Asteraceae	Wild	NA	NA	NA
Crupina crupinastrum	Crupina crupinastrum	Crupina	Asteraceae	Wild	NA	NA	NA
Gundelia tournefortii	Gundelia tournefortii	Gundelia	Asteraceae	Wild	NA	NA	NA
Iphiona mucronata	Iphiona mucronata	Iphiona	Asteraceae	Wild	NA	NA	NA
Matricaria sp.	Matricaria	Matricaria	Asteraceae	Wild	NA	NA	NA
Matricaria sp.	Matricaria sp. L.	Matricaria	Asteraceae	Wild	NA	NA	NA
Matricaria sp.	Matricaria type	Matricaria	Asteraceae	Wild	NA	NA	NA
NA	Anthemideae	NA	Asteraceae	Wild	NA	NA	NA
NA	Asteraceae	NA	Asteraceae	Wild	NA	NA	NA
NA	Asteraceae indet.	NA	Asteraceae	Wild	NA	NA	NA
NA	Asteraceae indet. uncarbonized	NA	Asteraceae	Wild	NA	NA	NA
NA	Carthamus/Centaurea	NA	Asteraceae	Wild	NA	NA	NA
NA	Cirsium/Carduus	NA	Asteraceae	Wild	NA	NA	NA
NA	Cirsium/Carduus/Centaurea	NA	Asteraceae	Wild	NA	NA	NA
Notobasis syriaca	Notobasis syriaca	Notobasis	Asteraceae	Wild	NA	NA	NA
Onopordum sp.	Onopordum sp. L. uncarbonized	Onopordum	Asteraceae	Wild	NA	NA	NA
Picris sp.	Picris sp. L.	Picris	Asteraceae	Wild	NA	NA	NA
Pulicaria crispa	Pulicaria crispa	Pulicaria	Asteraceae	Wild	NA	NA	NA
Pulicaria sp.	Pulicaria sp.	Pulicaria	Asteraceae	Wild	NA	NA	NA
Pulicaria sp.	Pulicaria type	Pulicaria	Asteraceae	Wild	NA	NA	NA
Senecio aegyptus	Senecio aegyptus	Senecio	Asteraceae	Wild	NA	NA	NA
Senecio sp.	Senecio sp. L.	Senecio	Asteraceae	Wild	NA	NA	NA
Sonchus oleraceus	Sonchus oleraceus L.	Sonchus	Asteraceae	Wild	NA	NA	NA
Sonchus sp.	Sonchus type	Sonchus	Asteraceae	Wild	NA	NA	NA
Tragopogon sp.	Tragopogon	Tragopogon	Asteraceae	Wild	NA	NA	NA
Corylus avellana	Corylus avellana	Corylus	Betulaceae	Wild	NA	NA	NA
Alkanna orientalis	Alkanna orientalis	Alkanna	Boraginaceae	Wild	NA	NA	NA
Alkanna sp.	Alkanna	Alkanna	Boraginaceae	Wild	NA	NA	NA
Alkanna sp.	Alkanna Tausch sp.	Alkanna	Boraginaceae	Wild	NA	NA	NA
Alkanna sp.	Alkanna Tausch sp., uncarbonized	Alkanna	Boraginaceae	Wild	NA	NA	NA
Anchusa officinalis	Anchusa officinalis L. type	Anchusa	Boraginaceae	Wild	NA	NA	NA
Anchusa sp.	Anchusa	Anchusa	Boraginaceae	Wild	NA	NA	NA
Anchusa sp.	Anchusa aegyptiaca/milleri	Anchusa	Boraginaceae	Wild	NA	NA	NA
Anchusa sp.	Anchusa L. sp.	Anchusa	Boraginaceae	Wild	NA	NA	NA
Arnebia decumbens	Arnebia decumbens	Arnebia	Boraginaceae	Wild	NA	NA	NA
Arnebia decumbens	Arnebia decumbens  (Vent.) Cosson & Kralik, uncarbonized	Arnebia	Boraginaceae	Wild	NA	NA	NA
Arnebia decumbens	Arnebia decumbens (Vent.) Cosson & Kralik	Arnebia	Boraginaceae	Wild	NA	NA	NA
Arnebia linearifolia	Arnebia linearifolia	Arnebia	Boraginaceae	Wild	NA	NA	NA
Arnebia linearifolia	Arnebia linearifolia DC.	Arnebia	Boraginaceae	Wild	NA	NA	NA
Arnebia sp.	Arnebia	Arnebia	Boraginaceae	Wild	NA	NA	NA
Arnebia sp.	Arnebia Forssk. sp.	Arnebia	Boraginaceae	Wild	NA	NA	NA
Buglossoides arvensis	Buglossoides arvensis	Buglossoides	Boraginaceae	Wild	NA	NA	NA
Buglossoides sp.	Buglossoides arvensis/incrassata	Buglossoides	Boraginaceae	Wild	NA	NA	NA
Buglossoides tenuiflora	Buglossoides tenuiflora	Buglossoides	Boraginaceae	Wild	NA	NA	NA
Cordia sinensis	Cordia sinensis	Cordia	Boraginaceae	Wild	NA	NA	NA
Echium sp.	Echium	Echium	Boraginaceae	Wild	NA	NA	NA
Echium sp.	Echium L. sp.	Echium	Boraginaceae	Wild	NA	NA	NA
Heliotropium europaeum	Heliotropium europaeum L.	Heliotropium	Boraginaceae	Wild	NA	NA	NA
Heliotropium persicum	Heliotropium persicum	Heliotropium	Boraginaceae	Wild	NA	NA	NA
Heliotropium rotundifolium	Heliotropium rotundifolium	Heliotropium	Boraginaceae	Wild	NA	NA	NA
Heliotropium sp.	Heliotropium	Heliotropium	Boraginaceae	Wild	NA	NA	NA
Heliotropium sp.	Heliotropium L. sp.	Heliotropium	Boraginaceae	Wild	NA	NA	NA
Heliotropium suaveolens	Heliotropium suaveolens	Heliotropium	Boraginaceae	Wild	NA	NA	NA
Lithospermum arvense	Lithospermum arvense L.	Lithospermum	Boraginaceae	Wild	NA	NA	NA
Lithospermum incrassatum	Lithospermum incrassatum	Lithospermum	Boraginaceae	Wild	NA	NA	NA
Lithospermum sp.	Lithospermum	Lithospermum	Boraginaceae	Wild	NA	NA	NA
Lithospermum sp.	Lithospermum L. sp.	Lithospermum	Boraginaceae	Wild	NA	NA	NA
Lithospermum tenuiflorum	Lithospermum tenuiflorum	Lithospermum	Boraginaceae	Wild	NA	NA	NA
Lithospermum tenuiflorum	Lithospermum tenuiflorum, uncarbonized	Lithospermum	Boraginaceae	Wild	NA	NA	NA
Moltkia coerulea	Moltkia coerulea	Moltkia	Boraginaceae	Wild	NA	NA	NA
NA	Arnebia/Lithospermum	NA	Boraginaceae	Wild	NA	NA	NA
NA	Boraginaceae	NA	Boraginaceae	Wild	NA	NA	NA
NA	Boraginaceae indeterminate	NA	Boraginaceae	Wild	NA	NA	NA
NA	Boraginaceae indeterminate, uncarbonized	NA	Boraginaceae	Wild	NA	NA	NA
Alyssum damascenus	Alyssum damascenus	Alyssum	Brassicaceae	Wild	NA	NA	NA
Alyssum sp.	Alyssum	Alyssum	Brassicaceae	Wild	NA	NA	NA
Alyssum sp.	cf. Alyssum sp.	Alyssum	Brassicaceae	Wild	NA	NA	NA
Brassica nigra	Brassica nigra	Brassica	Brassicaceae	Wild	NA	NA	NA
Brassica nigra	Brassica nigra (L.) Koch	Brassica	Brassicaceae	Wild	NA	NA	NA
Brassica sp.	Brassica	Brassica	Brassicaceae	Wild	NA	NA	NA
Brassica sp.	Brassica sp.	Brassica	Brassicaceae	Wild	NA	NA	NA
Camelina microcarpa	Camelina microcarpa	Camelina	Brassicaceae	Wild	NA	NA	NA
Camelina sativa	Camelina sativa (L.) Crantz	Camelina	Brassicaceae	Wild	NA	NA	NA
Camelina sp.	Camelina	Camelina	Brassicaceae	Wild	NA	NA	NA
Capsella bursa-pastoris	Capsella bursa-pastoris	Capsella	Brassicaceae	Wild	NA	NA	NA
Capsella sp.	Capsella	Capsella	Brassicaceae	Wild	NA	NA	NA
Carrichtera annua	Carrichtera annua	Carrichtera	Brassicaceae	Wild	NA	NA	NA
Carrichtera annua	Carrichtera annua (L.) Asch.	Carrichtera	Brassicaceae	Wild	NA	NA	NA
Descurainia sp.	Descurainia	Descurainia	Brassicaceae	Wild	NA	NA	NA
Draba sp.	Draba	Draba	Brassicaceae	Wild	NA	NA	NA
Erucaria sp.	Erucaria hispanica/boveana	Erucaria	Brassicaceae	Wild	NA	NA	NA
Erucaria sp.	Erucaria microcapa/rostrata	Erucaria	Brassicaceae	Wild	NA	NA	NA
Euclidium sp.	Euclidium	Euclidium	Brassicaceae	Wild	NA	NA	NA
Euclidium sp.	Euclidium spp.	Euclidium	Brassicaceae	Wild	NA	NA	NA
Euclidium syriacum	Euclidium syriacum	Euclidium	Brassicaceae	Wild	NA	NA	NA
Euclidium syriacum	Euclidium syriacum (L.) R.	Euclidium	Brassicaceae	Wild	NA	NA	NA
Lepidium niloticum	Coronopus niloticus	Lepidium	Brassicaceae	Wild	NA	NA	NA
Lepidium perfoliatum	Lepidium perfoliatum	Lepidium	Brassicaceae	Wild	NA	NA	NA
Lepidium ruderale	Lepidium ruderale	Lepidium	Brassicaceae	Wild	NA	NA	NA
Lepidium sativum	Lepidium sativum pod	Lepidium	Brassicaceae	Wild	NA	NA	NA
Lepidium sp.	Lepidium	Lepidium	Brassicaceae	Wild	NA	NA	NA
Lepidium sp.	Lepidium sp.	Lepidium	Brassicaceae	Wild	NA	NA	NA
Malcolmia sp.	Malcolmia	Malcolmia	Brassicaceae	Wild	NA	NA	NA
NA	Alyssum/Lepidium	NA	Brassicaceae	Wild	NA	NA	NA
NA	Arabis/Cardamine	NA	Brassicaceae	Wild	NA	NA	NA
NA	Brassica/Sinapis	NA	Brassicaceae	Wild	NA	NA	NA
NA	Brassica/Sinapis arvensis	NA	Brassicaceae	Wild	NA	NA	NA
NA	Brassica/Sinapis sp.	NA	Brassicaceae	Wild	NA	NA	NA
NA	Brassicaceae	NA	Brassicaceae	Wild	NA	NA	NA
NA	Brassicaceae indet.	NA	Brassicaceae	Wild	NA	NA	NA
NA	Brassicaceae indet. uncarbonized	NA	Brassicaceae	Wild	NA	NA	NA
NA	Camelina/Camphorosma	NA	Brassicaceae	Wild	NA	NA	NA
NA	cf. Brassicaceae	NA	Brassicaceae	Wild	NA	NA	NA
NA	Lepidium/Camelina	NA	Brassicaceae	Wild	NA	NA	NA
NA	Lepidium/Sisymbrium	NA	Brassicaceae	Wild	NA	NA	NA
Neslia paniculata	Neslia paniculata	Neslia	Brassicaceae	Wild	NA	NA	NA
Neslia sp.	Neslia	Neslia	Brassicaceae	Wild	NA	NA	NA
Neslia sp.	Neslia sp.	Neslia	Brassicaceae	Wild	NA	NA	NA
Raphanus sp.	Raphanus sp.	Raphanus	Brassicaceae	Wild	NA	NA	NA
Sisymbrium irio	Sisymbrium irio	Sisymbrium	Brassicaceae	Wild	NA	NA	NA
Sisymbrium sp.	cf. Sisymbrium sp.	Sisymbrium	Brassicaceae	Wild	NA	NA	NA
Sisymbrium sp.	Sisymbrium	Sisymbrium	Brassicaceae	Wild	NA	NA	NA
Thlaspi sp.	Thlaspi	Thlaspi	Brassicaceae	Wild	NA	NA	NA
Torularia torulosa	Torularia torulosa	Torularia	Brassicaceae	Wild	NA	NA	NA
Zilla spinosa	Zilla spinosa	Zilla	Brassicaceae	Wild	NA	NA	NA
Cannabis sativa	Cannabis sativa L.	Cannabis	Cannabaceae	Wild	NA	NA	NA
Celtis australis	Celtis australis L.	Celtis	Cannabaceae	Wild	NA	NA	NA
Celtis sp.	Celtis	Celtis	Cannabaceae	Wild	NA	NA	NA
Celtis sp.	Celtis sp.	Celtis	Cannabaceae	Wild	NA	NA	NA
Celtis tournefortii	Celtis tournefortii	Celtis	Cannabaceae	Wild	NA	NA	NA
Capparis sp.	Capparis	Capparis	Capparaceae	Wild	NA	NA	NA
Capparis sp.	Capparis sp.	Capparis	Capparaceae	Wild	NA	NA	NA
Capparis sp.	cf. Capparis sp.	Capparis	Capparaceae	Wild	NA	NA	NA
Capparis sp.	Chenopodiaceae/Capparis	Capparis	Capparaceae	Wild	NA	NA	NA
Capparis spinosa	Capparis spinosa	Capparis	Capparaceae	Wild	NA	NA	NA
Capparis spinosa	Capparis spinosa L.	Capparis	Capparaceae	Wild	NA	NA	NA
