founder_crop,period,site_name,phase_code,plant_part,age,total_remains,references
emmer wheat,LPPNB/C,Wadi Jilat 13,WJ13 L-L-PPNB/PPNC,undifferentiated,9012–8450 BP,1,Colledge2001
emmer wheat,Pottery Neolithic,Abu Hureyra,ABHU-LPPNB,undifferentiated,7250–6950 BP,10,DeMoulins97
emmer wheat,Pottery Neolithic,Abu Hureyra,ABHU-MPPNB,undifferentiated,8250–7250 BP,18,DeMoulins97
emmer wheat,Pottery Neolithic,Çatalhöyük,CATE M-L,undifferentiated,8850–7650 BP,3102.04,BogaardEtAl2015
emmer wheat,Pottery Neolithic,Çayönü,CAYO cell houses,undifferentiated,8750–8200 BP,35,ZeistRoller03Cayonu
emmer wheat,Pottery Neolithic,Çayönü,CAYO cell/large room,undifferentiated,8200–8050 BP,3,ZeistRoller03Cayonu
emmer wheat,Pottery Neolithic,Çayönü,CAYO PN,undifferentiated,7650–7650 BP,16,ZeistRoller03Cayonu
emmer wheat,Pottery Neolithic,Chogha Bonut,CHBO Formative,undifferentiated,7540–7385 BP,0.02,Miller03
emmer wheat,Pottery Neolithic,El Kowm I,ELK1 PN,undifferentiated,8250–8050 BP,15,VanZeist86
emmer wheat,Pottery Neolithic,El Kowm I,ELK1 PN(phase C),undifferentiated,7500–7350 BP,25,VanZeist86
emmer wheat,Pottery Neolithic,El Kowm I,ELK1 PN(phase D),undifferentiated,7350–7250 BP,5,VanZeist86
emmer wheat,Pottery Neolithic,El Kowm I,ELK1 PPNB,undifferentiated,8350–8158 BP,14,VanZeist86
emmer wheat,Pottery Neolithic,El Kowm II,ELK2 F-PPNB,undifferentiated,8533–8418 BP,47,DeMoulins97
emmer wheat,Pottery Neolithic,Jaffarabad,JAF,grain,8350–4950 BP,560,NA
emmer wheat,Pottery Neolithic,Ras Shamra,TRAS Va,undifferentiated,8434–8154 BP,275,VZBH84
emmer wheat,Pottery Neolithic,Tell es-Sultan,JERI PN,undifferentiated,8170–8042 BP,30,Hopf83
emmer wheat,Pottery Neolithic,Tell Ramad,TRAM PN,undifferentiated,7750–7350 BP,179,VanZeistBakkerHeeres82
emmer wheat,Pottery Neolithic,Yarim Tepe,YATE Halaf,undifferentiated,7550–7250 BP,66,BakhteyevYanushevich1980
emmer wheat,Pottery Neolithic,Yarim Tepe,YATE Hassuna,undifferentiated,8090–7890 BP,14,BakhteyevYanushevich1980
emmer wheat,Chalcolithic,Ayios Epiktitos Vrysi,AEV,grain,7350–1950 BP,182,NA
emmer wheat,Chalcolithic,Beth Shean,BS_EBIB,undifferentiated,5150–4950 BP,643,NA
emmer wheat,Chalcolithic,Çayboyu,CB_LC,grain,6750–5750 BP,77.917,NA
emmer wheat,Chalcolithic,Demircihöyük,DH,grain,5150–3950 BP,111,NA
emmer wheat,Chalcolithic,Emar,EM_EBA,undifferentiated,5150–3950 BP,3,NA
emmer wheat,Chalcolithic,Girikihaciyan,GH,grain,7050–1950 BP,1.131,NA
emmer wheat,Chalcolithic,Hacinebi Tepe,HAT-C,grain,6750–5750 BP,19,NA
emmer wheat,Chalcolithic,Höyücek,HOY_PN,grain,8350–1950 BP,582,NA; NA
emmer wheat,Chalcolithic,Höyücek,HOY_PN,undifferentiated,8350–1950 BP,3,NA; NA
emmer wheat,Chalcolithic,Korucutepe,KOR-CH,grain,7150–4950 BP,153,NA
emmer wheat,Chalcolithic,Korucutepe,KOR-EB,grain,5150–3950 BP,101,NA
emmer wheat,Chalcolithic,Kosak Shamali,KS,grain,7150–4950 BP,2,NA
emmer wheat,Chalcolithic,Kuruçay Höyük,KUR_LC,grain,6750–5750 BP,4.217,NA; NA
emmer wheat,Chalcolithic,Kuruçay Höyük,KUR_LC,undifferentiated,6750–5750 BP,2.279,NA; NA
emmer wheat,Chalcolithic,Lachish,LH_EB,grain,5150–3950 BP,0,NA
emmer wheat,Chalcolithic,Maadi,MD_PD,grain,7450–5150 BP,2590,NA; NA
emmer wheat,Chalcolithic,Maadi,MD_PD,undifferentiated,7450–5150 BP,11874,NA; NA
emmer wheat,Chalcolithic,Ras an-Numayra,RAN_EBA_IB,grain,5150–4950 BP,24,NA; NA
emmer wheat,Chalcolithic,Ras an-Numayra,RAN_EBA_IB,undifferentiated,5150–4950 BP,226,NA; NA
emmer wheat,Chalcolithic,Sabi Abyad,TSA-1_3,grain,7050–1950 BP,11.446,NA
emmer wheat,Chalcolithic,Shiqmim,SQ_LV,grain,7150–4950 BP,92,NA; NA
emmer wheat,Chalcolithic,Shiqmim,SQ_LV,undifferentiated,7150–4950 BP,685,NA; NA
emmer wheat,Chalcolithic,Shiqmim,SQ_UV,undifferentiated,6450–5750 BP,129,NA
emmer wheat,Chalcolithic,Tappeh Gijlar,TAG-B,grain,5150–3950 BP,25,NA
emmer wheat,Chalcolithic,Tappeh Gijlar,TAG-BC,grain,6750–5750 BP,1,NA
emmer wheat,Chalcolithic,Tappeh Gijlar,TAG-C,grain,7150–3950 BP,10,NA
emmer wheat,Chalcolithic,Tell Abu al-Kharaz,TAK_EB1B,grain,5150–4950 BP,113,NA; NA
emmer wheat,Chalcolithic,Tell Abu al-Kharaz,TAK_EB1B,undifferentiated,5150–4950 BP,174,NA; NA
emmer wheat,Chalcolithic,Tell Afis,TAF-C,grain,6150–5750 BP,35,NA
emmer wheat,Chalcolithic,Tell al-Raqa'i,TAR-4,grain,5150–3950 BP,22,NA
emmer wheat,Chalcolithic,Tell Aphek,TAPH_IA_IB,grain,5150–4950 BP,152,NA
emmer wheat,Chalcolithic,Tell Atij,TA,undifferentiated,5150–3950 BP,179,NA
emmer wheat,Chalcolithic,Tell Brak,TBR-I,grain,6750–5750 BP,188,NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-I,grain,7150–4950 BP,26,NA; NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-I,undifferentiated,7150–4950 BP,176,NA; NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-II,grain,7150–4950 BP,76,NA; NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-II,undifferentiated,7150–4950 BP,452,NA; NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-III,grain,5150–4950 BP,16,NA; NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-III,undifferentiated,5150–4950 BP,48,NA; NA
emmer wheat,Chalcolithic,Tell el-Fara'in,TEF-IV,undifferentiated,5150–4950 BP,108,NA
emmer wheat,Chalcolithic,Tell el-Iswid,TEI_ED,undifferentiated,5050–4650 BP,113,NA
emmer wheat,Chalcolithic,Tell el-Iswid,TEI_PD,grain,7450–5150 BP,15,NA; NA
emmer wheat,Chalcolithic,Tell el-Iswid,TEI_PD,undifferentiated,7450–5150 BP,571,NA; NA
emmer wheat,Chalcolithic,Tell Esh-Shuna,TES_C,grain,7050–1950 BP,248,NA; NA
emmer wheat,Chalcolithic,Tell Esh-Shuna,TES_C,undifferentiated,7050–1950 BP,16,NA; NA
emmer wheat,Chalcolithic,Tell Esh-Shuna,TES_EB1E,grain,5050–1950 BP,56,NA
emmer wheat,Chalcolithic,Tell Fadous-Kfarabida,TFA_C_EBA_I,undifferentiated,7150–3950 BP,62,NA
emmer wheat,Chalcolithic,Tell Fadous-Kfarabida,TFA_EBA_V,undifferentiated,5150–3950 BP,11,NA
emmer wheat,Chalcolithic,Tell Ibrahim Awad,TIA-B,undifferentiated,5050–4850 BP,358,NA
emmer wheat,Chalcolithic,Tell Ibrahim Awad,TIA-ED,grain,5050–4650 BP,66,NA; NA
emmer wheat,Chalcolithic,Tell Ibrahim Awad,TIA-ED,undifferentiated,5050–4650 BP,46,NA; NA
emmer wheat,Chalcolithic,Tell Ibrahim Awad,TIA-PD,grain,7450–5150 BP,17,NA; NA
emmer wheat,Chalcolithic,Tell Ibrahim Awad,TIA-PD,undifferentiated,7450–5150 BP,14,NA; NA
emmer wheat,Chalcolithic,Tell Karrana,TKA,grain,7150–3950 BP,3.739,NA
emmer wheat,Chalcolithic,Tell Kerma,TKE,grain,5150–3950 BP,90,NA; NA
emmer wheat,Chalcolithic,Tell Kerma,TKE,undifferentiated,5150–3950 BP,87,NA; NA
emmer wheat,Chalcolithic,Tell Mishrifeh,TEMI_11,grain,5150–3950 BP,20,NA; NA
emmer wheat,Chalcolithic,Tell Mishrifeh,TEMI_11,undifferentiated,5150–3950 BP,111,NA; NA
emmer wheat,Chalcolithic,Tell Mishrifeh,TEMI_9,grain,5150–3550 BP,38,NA; NA
emmer wheat,Chalcolithic,Tell Mishrifeh,TEMI_9,undifferentiated,5150–3550 BP,120,NA; NA
emmer wheat,Chalcolithic,Tepe Farukhabad,TF-EJN,grain,5050–1950 BP,8,NA
emmer wheat,Chalcolithic,Tepe Farukhabad,TF-F,grain,6450–5750 BP,5,NA
emmer wheat,Chalcolithic,Tepecik,TEP-CH,grain,6450–5750 BP,20,NA
emmer wheat,Chalcolithic,Tilbeshar,TB_C,grain,7150–4950 BP,52,NA
emmer wheat,Chalcolithic,Wadi Fidan,WF-E,grain,7150–3950 BP,143,NA; NA
emmer wheat,Chalcolithic,Wadi Fidan,WF-E,undifferentiated,7150–3950 BP,395.42,NA; NA
emmer wheat,Chalcolithic,Yarim Höyük,YAHÖ_KV_U,grain,5950–1950 BP,1,NA
emmer wheat,Chalcolithic,Yarim Höyük,YAHÖ_U,grain,5450–5050 BP,2,NA
flax,Late Epipal.,Iraq ed-Dubb,IEDU L-Natufian,undifferentiated,13250–12250 BP,2,Colledge2001
flax,Late Epipal.,Mureybet,MURE L-Epi/PPNA,undifferentiated,12050–11950 BP,4,VZBH84_3
flax,EPPNB,Kastros,KAST CPPNB,undifferentiated,10850–9950 BP,14.5,VanZeist1981
flax,EPPNB,Kissonerga Mosphilia,KMIA,undifferentiated,10750–10350 BP,4,NA
flax,EPPNB,Mylouthkia,MYLO-1A,undifferentiated,10550–10150 BP,4,Murray03
flax,MPPNB,Cafer Höyük,CAFH E-PPNB,undifferentiated,10550–9650 BP,1,DeMoulins97
flax,MPPNB,Nahal Hemar,NAHE PPNB,undifferentiated,10130–9316 BP,1,Kislev88
flax,MPPNB,Tell Aswad,TASW M-PPNB,undifferentiated,10150–9350 BP,16,VanZeistBakkerHeeres82
flax,MPPNB,Tell Ghoraifé,TGHO M/L-PPNB,undifferentiated,10132–9012 BP,3,VanZeistBakkerHeeres82
flax,MPPNB,Tell Halula,7550-TelHMB,undifferentiated,9950–9050 BP,93,Ferrio et al 2012
flax,LPPNB/C,Ain Ghazal,AIGH M/L-PPNB,undifferentiated,10276–8582 BP,1,Donaldson85
flax,LPPNB/C,Ali Kosh,TAKO M-PPNB/L-PPNB,undifferentiated,9450–8700 BP,3,Helbaek69
flax,LPPNB/C,Ali Kosh,TAKO PN,undifferentiated,9241–8213 BP,1,Helbaek69
flax,LPPNB/C,Ali Kosh,TAKO PPNC/PN,undifferentiated,10100–7950 BP,1,Helbaek69
flax,LPPNB/C,Çayönü,CAYO channelled houses,undifferentiated,9250–8950 BP,3,ZeistRoller03Cayonu
flax,LPPNB/C,Çayönü,CAYO cobble-paved,undifferentiated,8950–8750 BP,94,ZeistRoller03Cayonu
flax,LPPNB/C,Mylouthkia,MYLO-1B,undifferentiated,9150–8750 BP,4,Murray03
flax,LPPNB/C,Ras Shamra,TRAS Vb,undifferentiated,8776–8289 BP,1,VZBH84
flax,LPPNB/C,Ras Shamra,TRAS Vc,undifferentiated,9450–9080 BP,2,VZBH84
flax,LPPNB/C,Sabi Abyad II,TSA2 PPNB,undifferentiated,9500–8800 BP,1253,VanZeistRoller00
flax,LPPNB/C,Tell es-Sultan,JERI M-PPNB,undifferentiated,8950–8150 BP,2,Hopf83
flax,LPPNB/C,Tell Ghoraifé,TGHO L-PPNB,undifferentiated,9496–8598 BP,22,VanZeistBakkerHeeres82
flax,LPPNB/C,Tell Halula,6550-TelHEP,undifferentiated,8800–8200 BP,62,Ferrio et al 2012
flax,LPPNB/C,Tell Halula,7320-TelHLB,undifferentiated,9400–9140 BP,78,Ferrio et al 2012
flax,LPPNB/C,Tell Maghzaliyeh,TMAG-aceramic,undifferentiated,9000–8200 BP,39,Willcox2006
flax,LPPNB/C,Tell Ramad,TRAM F-PPNB,undifferentiated,8871–8597 BP,265,VanZeistBakkerHeeres82
flax,LPPNB/C,Tell Ramad,TRAM L-PPNB,undifferentiated,9285–8871 BP,32,VanZeistBakkerHeeres82
flax,Pottery Neolithic,Abu Hureyra,ABHU PN,undifferentiated,7550–7450 BP,3,DeMoulins97
flax,Pottery Neolithic,Abu Hureyra,ABHU-LPPNB,undifferentiated,7250–6950 BP,5,DeMoulins97
flax,Pottery Neolithic,Abu Hureyra,ABHU-MPPNB,undifferentiated,8250–7250 BP,2,DeMoulins97
flax,Pottery Neolithic,Cape Andreas Kastros,6450-CAK,undifferentiated,8750–8050 BP,13,Van Zeist 1981
flax,Pottery Neolithic,Choga Mami,5795-CM-S,undifferentiated,7930–7560 BP,81,Helbaek 1972b
flax,Pottery Neolithic,Nahal Zehora II,6050-NZIIPN,undifferentiated,8200–7800 BP,3,Kislev and Hartmann 2012
flax,Pottery Neolithic,Ras Shamra,TRAS Va,undifferentiated,8434–8154 BP,10,VZBH84
flax,Pottery Neolithic,Salat Cami Yanı,6345-SalCY,undifferentiated,8430–8160 BP,29,Miyake 2011
flax,Pottery Neolithic,Sha'ar Hagolan,6230-ShaHag,undifferentiated,8350–8010 BP,1,Allen 2002
flax,Pottery Neolithic,Tell Halula,5925-TelHLP,undifferentiated,8200–7550 BP,5,Ferrio et al 2012
flax,Pottery Neolithic,Tell Ramad,TRAM PN,undifferentiated,7750–7350 BP,3,VanZeistBakkerHeeres82
flax,Chalcolithic,Beth Shean,BS_EBIB,undifferentiated,5150–4950 BP,158,NA
flax,Chalcolithic,Girikihaciyan,GH,undifferentiated,7050–1950 BP,17,NA
flax,Chalcolithic,Korucutepe,KOR-CH,undifferentiated,7150–4950 BP,80,NA
flax,Chalcolithic,Kuruçay Höyük,KUR_LC,undifferentiated,6750–5750 BP,40.963,NA
flax,Chalcolithic,Maadi,MD_PD,undifferentiated,7450–5150 BP,7,NA
flax,Chalcolithic,Ras an-Numayra,RAN_EBA_IB,undifferentiated,5150–4950 BP,103,NA
flax,Chalcolithic,Tappeh Gijlar,TAG-B,undifferentiated,5150–3950 BP,18,NA
flax,Chalcolithic,Tell Aphek,TAPH_IA_IB,undifferentiated,5150–4950 BP,13,NA
flax,Chalcolithic,Tell Jerablus Tahtani,TJT_EBA_early,undifferentiated,5150–3950 BP,5,NA
flax,Chalcolithic,Tell Jerablus Tahtani,TJT_EBA_Late,undifferentiated,5150–3950 BP,2,NA
flax,Chalcolithic,Tell Jerablus Tahtani,TJT_LC,undifferentiated,6750–5750 BP,1,NA
flax,Chalcolithic,Tilbeshar,TB_C,undifferentiated,7150–4950 BP,3,NA
lentil,Late Epipal.,Abu Hureyra,ABHU Epip1,undifferentiated,13096–12984 BP,12,MooreEtal2000
lentil,Late Epipal.,Abu Hureyra,ABHU Epip2,undifferentiated,12984–12055 BP,21,MooreEtal2000
lentil,Late Epipal.,Abu Hureyra,ABHU Epip3,undifferentiated,12055–11770 BP,10,MooreEtal2000
lentil,Late Epipal.,Iraq ed-Dubb,IEDU L-Natufian,undifferentiated,13250–12250 BP,6,Colledge2001
lentil,Late Epipal.,Mureybet,MURE L-Epi/PPNA,undifferentiated,12050–11950 BP,7,VZBH84_3
lentil,Late Epipal.,Wadi Hammeh 27,WH27 Epip,undifferentiated,14111–12660 BP,1,Colledge2001
lentil,PPNA,Chogha Bonut,CHBO Aceramic,undifferentiated,12850–8800 BP,3,Miller03
lentil,PPNA,Chogha Golan,CHGO-iX,undifferentiated,10850–10650 BP,11,RiehlEtal2013
lentil,PPNA,Chogha Golan,CHGO-X,undifferentiated,11050–10850 BP,5,RiehlEtal2013
lentil,PPNA,Chogha Golan,CHGO-XI,undifferentiated,11250–11050 BP,78,RiehlEtal2013
lentil,PPNA,El-Hemmeh,EHEM-PPNA,undifferentiated,11070–10520 BP,99,WhiteMakarewicz11
lentil,PPNA,Iraq ed-Dubb,IEDU PPNA,undifferentiated,11650–11150 BP,4,Colledge2001
lentil,PPNA,Jerf el Ahmar,JEAH PPNA,undifferentiated,11450–10650 BP,2185,"c(""WFH08"", ""Willcox02"", ""WillcoxFornite99"")"
lentil,PPNA,M'lefaat,MLEF PPNA,undifferentiated,11270–11140 BP,424,SavardNesbittGale2003
lentil,PPNA,Mureybet,MURE PPNA,undifferentiated,11650–11250 BP,30,VZBH84_3
lentil,PPNA,Mureybet,MURE PPNB,undifferentiated,11350–10750 BP,8,VZBH84_3
lentil,PPNA,Nemrik 9,NEM9 PPNA,undifferentiated,12389–9563 BP,9,Kozlowski1989
lentil,PPNA,Netiv Hagdud,NEHA PPNA,undifferentiated,11603–10586 BP,205,Kislev97
lentil,PPNA,Qermez Dere,QEDE PPNA,undifferentiated,11750–9950 BP,263,"c(""Nesbitt91"", ""Nesbitt95"")"
lentil,PPNA,Tell 'Abr,TABR PPNA,undifferentiated,11245–10776 BP,230,WFH08
lentil,PPNA,Tell Aswad,TASW E-PPNB,undifferentiated,11231–10658 BP,2,VanZeistBakkerHeeres82
lentil,PPNA,Tell es-Sultan,JERI PPNA,undifferentiated,12250–10750 BP,1,Hopf83
lentil,PPNA,Zahrat adh-Dhra 2,ZAD2 PPNA,undifferentiated,11450–10450 BP,32,Edwardsetal04
lentil,EPPNB,Chogha Golan,CHGO-VII,undifferentiated,10450–10250 BP,11,RiehlEtal2013
lentil,EPPNB,Chogha Golan,CHGO-VIII,undifferentiated,10650–10450 BP,14,RiehlEtal2013
lentil,EPPNB,Dja'de,DJAD E-PPNB,undifferentiated,10690–10151 BP,5850,Willcox96
lentil,EPPNB,Kastros,KAST CPPNB,undifferentiated,10850–9950 BP,146.5,VanZeist1981
lentil,EPPNB,Kissonerga Mosphilia,KMIA,undifferentiated,10750–10350 BP,2,NA
lentil,EPPNB,Mylouthkia,MYLO-1A,undifferentiated,10550–10150 BP,2,Murray03
lentil,EPPNB,Nevalı Çori,NECO PPNB,undifferentiated,10450–10250 BP,342,Pasternak98
lentil,EPPNB,Tell Ain el-Kerkh,TAEK PPNB,undifferentiated,10510–10240 BP,450,TannoWillxox06
lentil,EPPNB,Tell Aswad,TASW (PPNA)/E-PPNB,undifferentiated,10821–10242 BP,4,VanZeistBakkerHeeres82
lentil,MPPNB,Ais Giorkis,AIYI-PPNB,undifferentiated,9550–9450 BP,3,Lucas2011
lentil,MPPNB,Aşıklı Höyük,ASHO M-PPNB,undifferentiated,9950–9450 BP,43,"c(""VanZeistDeRoller95"", ""ZeistRoller03Asikli"")"
lentil,MPPNB,Beidha,BEID A,undifferentiated,10093–9490 BP,1,Colledge2001
lentil,MPPNB,Cafer Höyük,CAFH E-PPNB,undifferentiated,10550–9650 BP,252,DeMoulins97
lentil,MPPNB,Cafer Höyük,CAFH M-PPNB,undifferentiated,10050–9300 BP,1,DeMoulins97
lentil,MPPNB,Çayönü,CAYO grill plan,undifferentiated,9950–9400 BP,4,ZeistRoller03Cayonu
lentil,MPPNB,Çayönü,CAYO round house,undifferentiated,10250–9950 BP,1,ZeistRoller03Cayonu
lentil,MPPNB,Chogha Golan,CHGO-I,undifferentiated,9650–9550 BP,6,RiehlEtal2013
lentil,MPPNB,Chogha Golan,CHGO-II,undifferentiated,9750–9650 BP,4,RiehlEtal2013
lentil,MPPNB,Chogha Golan,CHGO-III,undifferentiated,9850–9750 BP,2,RiehlEtal2013
lentil,MPPNB,Chogha Golan,CHGO-IV,undifferentiated,9950–9850 BP,96,RiehlEtal2013
lentil,MPPNB,Chogha Golan,CHGO-V,undifferentiated,10050–9950 BP,44,RiehlEtal2013
lentil,MPPNB,Chogha Golan,CHGO-VI,undifferentiated,10250–10050 BP,9,RiehlEtal2013
lentil,MPPNB,East Chia Sabz,CHSA-PPNB,undifferentiated,10450–9550 BP,26,RiehlEtal2011
lentil,MPPNB,Ganj Dareh,GADT A,undifferentiated,9950–9350 BP,2,VZeistSmithetal84
lentil,MPPNB,Ganj Dareh,GADT All,undifferentiated,10350–9350 BP,5,VZeistSmithetal84
lentil,MPPNB,Ganj Dareh,GADT B,undifferentiated,10150–9350 BP,12,VZeistSmithetal84
lentil,MPPNB,Ganj Dareh,GADT D,undifferentiated,10300–9350 BP,10,VZeistSmithetal84
lentil,MPPNB,Ganj Dareh,GADT E,undifferentiated,10150–9150 BP,11,VZeistSmithetal84
lentil,MPPNB,Göbekli Tepe,GOTE PPNA/E-PPNB,undifferentiated,10750–9550 BP,1,Neef03
lentil,MPPNB,Hacılar,HACI M-PPNB,undifferentiated,10232–9418 BP,3,Helbaek70
lentil,MPPNB,Halula,HALU M-PPNB,undifferentiated,9921–9532 BP,57,Willcox96
lentil,MPPNB,Nahal Hemar,NAHE PPNB,undifferentiated,10130–9316 BP,7,Kislev88
lentil,MPPNB,Nahal Oren,NAOR PPNB,undifferentiated,10750–9550 BP,1,NoyLeggeHiggs1973
lentil,MPPNB,Sheikh-e Abad,ABAD_II_PPNB,undifferentiated,10650–8450 BP,58,NA
lentil,MPPNB,Sheikh-e Abad,ABAD_III_PPNB,undifferentiated,10650–8450 BP,1,NA
lentil,MPPNB,Tell Aswad,TASW M-PPNB,undifferentiated,10150–9350 BP,21,VanZeistBakkerHeeres82
lentil,MPPNB,Tell Ghoraifé,TGHO M/L-PPNB,undifferentiated,10132–9012 BP,3,VanZeistBakkerHeeres82
lentil,MPPNB,Tell Halula,7550-TelHMB,undifferentiated,9950–9050 BP,63,Ferrio et al 2012
lentil,MPPNB,Tepe Abdul Hosein,TAHO PPNB,undifferentiated,10272–9092 BP,1,Hubbard1990
lentil,MPPNB,Wadi Jilat 7,WJ07 E/M-PPNB,undifferentiated,10237–9260 BP,5,Colledge2001
lentil,LPPNB/C,Abu Hureyra,ABHU-EPPNB,undifferentiated,9350–8250 BP,3,DeMoulins97
lentil,LPPNB/C,Ali Kosh,TAKO PN,undifferentiated,9241–8213 BP,1,Helbaek69
lentil,LPPNB/C,Ali Kosh,TAKO PPNC/PN,undifferentiated,10100–7950 BP,1,Helbaek69
lentil,LPPNB/C,Atlit-Yam,ATYA PPNC,undifferentiated,9019–8042 BP,25,KislevEtal04
lentil,LPPNB/C,Basta,BAS1 L-PPNB,undifferentiated,9450–9210 BP,7,Neef04
lentil,LPPNB/C,Cafer Höyük,CAFH L-PPNB,undifferentiated,9450–9050 BP,6,DeMoulins97
lentil,LPPNB/C,Can Hasan III,CAH3 Aceramic,undifferentiated,9400–8550 BP,15,FrenchEtal72
lentil,LPPNB/C,Çayönü,CAYO basal pits,undifferentiated,9400–9250 BP,1.5,ZeistRoller03Cayonu
lentil,LPPNB/C,Çayönü,CAYO channelled houses,undifferentiated,9250–8950 BP,18,ZeistRoller03Cayonu
lentil,LPPNB/C,Çayönü,CAYO cobble-paved,undifferentiated,8950–8750 BP,16.5,ZeistRoller03Cayonu
lentil,LPPNB/C,Kissonerga Mosphilia,KMIB,undifferentiated,9450–8950 BP,52,NA
lentil,LPPNB/C,Mylouthkia,MYLO-1B,undifferentiated,9150–8750 BP,52,Murray03
lentil,LPPNB/C,Ras Shamra,TRAS Vb,undifferentiated,8776–8289 BP,63,VZBH84
lentil,LPPNB/C,Ras Shamra,TRAS Vc,undifferentiated,9450–9080 BP,122,VZBH84
lentil,LPPNB/C,Sabi Abyad II,TSA2 PPNB,undifferentiated,9500–8800 BP,37,VanZeistRoller00
lentil,LPPNB/C,Tell es-Sultan,JERI M-PPNB,undifferentiated,8950–8150 BP,640,Hopf83
lentil,LPPNB/C,Tell Halula,7320-TelHLB,undifferentiated,9400–9140 BP,221,Ferrio et al 2012
lentil,LPPNB/C,Tell Maghzaliyeh,TMAG-aceramic,undifferentiated,9000–8200 BP,42,Willcox2006
lentil,LPPNB/C,Tell Nebi Mend,6830-TNM,undifferentiated,8980–8580 BP,17,Smith and Moffett 2015
